N,k,Flux,MeasureN
1,0.10745,1,1
1,0.107496,1,2
1,0.107539,1,3
1,0,0,4
2,0.217146,2,1
2,0,0,2
2,0.216643,2,3
2,0.216401,2,4
3,0.323742,3,1
3,0.215531,2,2
3,0.323321,3,3
3,0.323111,3,4
4,0.215008,2,1
4,0.322584,3,2
4,0.430265,4,3
4,0.430416,4,4
5,0.432019,4,1
5,0.539653,5,2
5,0.431818,4,3
5,0.43164,4,4
6,0.539159,5,1
6,0.53877,5,2
6,0.646608,6,3
6,0.431358,4,4
7,0.754347,7,1
7,0.753952,7,2
7,0.645999,6,3
7,0.538711,5,4
8,0.863337,8,1
8,0.755466,7,2
8,0.539984,5,3
8,0.863399,8,4
9,0.86119,8,1
9,0.75415,7,2
9,0.860984,8,3
9,0.859835,8,4
10,0.750554,7,1
10,0.857145,8,2
10,0.85627,8,3
10,1.08033,10,4
11,0.861772,8,1
11,1.18528,11,2
11,0.861451,8,3
11,1.07714,10,4
12,0.97031,9,1
12,1.07751,10,2
12,1.18493,11,3
12,1.07655,10,4
13,1.29435,12,1
13,1.18607,11,2
13,0.969904,9,3
13,1.18587,11,4
14,1.40297,13,1
14,1.18666,11,2
14,1.29478,12,3
14,1.18721,11,4
15,1.29284,12,1
15,1.40141,13,2
15,1.29371,12,3
15,1.28905,12,4
16,1.2914,12,1
16,1.40181,13,2
16,1.51098,14,3
16,1.51124,14,4
17,1.50936,14,1
17,1.51164,14,2
17,1.51029,14,3
17,1.50972,14,4
18,1.61966,15,1
18,1.72724,16,2
18,1.51224,14,3
18,1.61777,15,4
19,1.72819,16,1
19,1.83428,17,2
19,1.61617,15,3
19,1.51193,14,4
20,1.72935,16,1
20,1.72663,16,2
20,1.94,18,3
20,1.72501,16,4
21,1.72331,16,1
21,1.61351,15,2
21,2.15931,20,3
21,1.94379,18,4
288,27.6712,141,1
288,24.4499,138,2
288,32.0988,136,3
288,16.5957,151,4
