N,k,V,MeasureN
1,0.107429,100.532,1
1,0.107477,100.487,2
1,0,0,3
1,0.107521,100.445,4
2,0.215338,100.307,1
2,0.215401,100.278,2
2,0.21546,100.251,3
2,0,0,4
3,0.215789,100.098,1
3,0.323602,100.123,2
3,0.323517,100.149,3
3,0.323432,100.176,4
4,0.43173,100.063,1
4,0.215674,100.151,2
4,0.431776,100.052,3
4,0.431728,100.063,4
5,0.539872,100.024,1
5,0.323211,100.244,2
5,0.538945,100.196,3
5,0.32336,100.198,4
6,0.540139,99.9742,1
6,0.647683,100.049,2
6,0.539524,100.088,3
6,0.539545,100.084,4
7,0.537819,100.406,1
7,0.645852,100.333,2
7,0.645131,100.445,3
7,0.536768,100.602,4
