time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
0,7162.74,1787.35,8230.61,2150.49,9238.97,1935.67,8970.38,6353.46,5169.94,6317.64
0.05,7164.14,1788.8,8232,2151.88,9240.36,1937.06,8971.78,6354.85,5171.33,6318.99
0.1,7165.53,1790.25,8233.4,2153.27,9241.75,1938.45,8973.18,6356.24,5172.72,6320.34
0.15,7166.92,1791.7,8234.8,2154.66,9243.14,1939.84,8974.58,6357.64,5174.11,6321.69
0.2,7168.32,1793.15,8236.2,2156.05,9244.52,1941.23,8975.98,6359.03,5175.5,6323.04
0.25,7169.71,1794.61,8237.6,2157.44,9245.91,1942.62,8977.38,6360.42,5176.89,6324.39
0.3,7171.1,1796.06,8239,2158.83,9247.3,1944.01,8978.78,6361.81,5178.28,6325.74
0.35,7172.49,1797.51,8240.4,2160.22,9248.69,1945.4,8980.17,6363.21,5179.67,6327.09
0.4,7173.89,1798.96,8241.8,2161.6,9250.08,1946.79,8981.57,6364.6,5181.06,6328.44
0.45,7175.28,1800.41,8243.2,2162.99,9251.47,1948.18,8982.97,6365.99,5182.45,6329.79
0.5,7176.67,1801.86,8244.6,2164.38,9252.86,1949.57,8984.37,6367.39,5183.83,6331.14
0.55,7178.07,1803.31,8246,2165.77,9254.25,1950.97,8985.77,6368.78,5185.22,6332.49
0.6,7179.46,1804.76,8247.4,2167.16,9255.64,1952.36,8987.17,6370.17,5186.61,6333.84
0.65,7180.85,1806.21,8248.8,2168.55,9257.02,1953.75,8988.57,6371.57,5188,6335.19
0.7,7182.25,1807.66,8250.2,2169.94,9258.41,1955.14,8989.97,6372.96,5189.39,6336.54
0.75,7183.64,1809.11,8251.6,2171.33,9259.8,1956.53,8991.37,6374.35,5190.78,6337.89
0.8,7185.03,1810.56,8253,2172.72,9261.19,1957.92,8992.77,6375.75,5192.17,6339.24
0.85,7186.43,1812.01,8254.4,2174.1,9262.58,1959.31,8994.17,6377.14,5193.56,6340.59
0.9,7187.82,1813.46,8255.8,2175.49,9263.97,1960.7,8995.57,6378.53,5194.95,6341.94
0.95,7189.21,1814.91,8257.2,2176.88,9265.36,1962.09,8996.97,6379.92,5196.34,6343.29
1,7190.6,1816.36,8258.6,2178.27,9266.75,1963.48,8998.37,6381.32,5197.73,6344.64
1.05,7192,1817.81,8260,2179.66,9268.14,1964.87,8999.77,6382.71,5199.12,6345.99
1.1,7193.39,1819.27,8261.4,2181.05,9269.52,1966.26,9001.17,6384.1,5200.51,6347.34
1.15,7194.78,1820.72,8262.79,2182.44,9270.91,1967.65,9002.57,6385.5,5201.9,6348.69
1.2,7196.18,1822.17,8264.19,2183.83,9272.3,1969.04,9003.97,6386.89,5203.29,6350.04
1.25,7197.57,1823.62,8265.59,2185.22,9273.69,1970.43,9005.36,6388.28,5204.68,6351.39
1.3,7198.96,1825.07,8266.99,2186.6,9275.08,1971.82,9006.76,6389.68,5206.07,6352.74
1.35,7200.36,1826.52,8268.39,2187.99,9276.47,1973.21,9008.16,6391.07,5207.46,6354.09
1.4,7201.75,1827.97,8269.79,2189.38,9277.86,1974.6,9009.56,6392.46,5208.85,6355.44
1.45,7203.14,1829.42,8271.19,2190.77,9279.25,1975.99,9010.96,6393.85,5210.24,6356.79
1.5,7204.54,1830.87,8272.59,2192.16,9280.64,1977.38,9012.36,6395.25,5211.63,6358.14
1.55,7205.93,1832.32,8273.99,2193.55,9282.02,1978.77,9013.76,6396.64,5213.02,6359.49
1.6,7207.32,1833.77,8275.39,2194.94,9283.41,1980.16,9015.16,6398.03,5214.41,6360.84
1.65,7208.72,1835.22,8276.79,2196.33,9284.8,1981.55,9016.56,6399.43,5215.8,6362.19
1.7,7210.11,1836.67,8278.19,2197.72,9286.19,1982.94,9017.96,6400.82,5217.19,6363.54
1.75,7211.5,1838.12,8279.59,2199.1,9287.58,1984.33,9019.36,6402.21,5218.58,6364.89
1.8,7212.89,1839.57,8280.99,2200.49,9288.97,1985.72,9020.76,6403.61,5219.97,6366.24
1.85,7214.29,1841.02,8282.39,2201.88,9290.36,1987.11,9022.16,6405,5221.36,6367.59
1.9,7215.68,1842.48,8283.79,2203.27,9291.75,1988.5,9023.56,6406.39,5222.75,6368.94
1.95,7217.07,1843.93,8285.19,2204.66,9293.14,1989.89,9024.96,6407.78,5224.13,6370.29
2,7218.47,1845.38,8286.59,2206.05,9294.52,1991.28,9026.36,6409.18,5225.52,6371.64
2.05,7219.86,1846.83,8287.99,2207.44,9295.91,1992.67,9027.76,6410.57,5226.91,6372.99
2.1,7221.25,1848.28,8289.39,2208.83,9297.3,1994.06,9029.15,6411.96,5228.3,6374.34
2.15,7222.65,1849.73,8290.79,2210.22,9298.69,1995.45,9030.55,6413.36,5229.69,6375.69
2.2,7224.04,1851.18,8292.19,2211.6,9300.08,1996.84,9031.95,6414.75,5231.08,6377.04
2.25,7225.43,1852.63,8293.58,2212.99,9301.47,1998.23,9033.35,6416.14,5232.47,6378.39
