time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
0,342.865,7209.1,6278.1,8830.41,151.78,7437.9,4211.21,4620.38,51.0955,1356.78,4062.14
0.05,344.254,7210.49,6279.48,8831.81,153.172,7439.29,4212.6,4621.77,52.4917,1358.17,4063.54
0.1,345.642,7211.88,6280.87,8833.22,154.565,7440.68,4213.99,4623.16,53.8879,1359.56,4064.93
0.15,347.031,7213.27,6282.26,8834.62,155.958,7442.07,4215.38,4624.55,55.2842,1360.95,4066.32
0.2,348.42,7214.66,6283.65,8836.03,157.35,7443.46,4216.77,4625.94,56.6804,1362.34,4067.71
0.25,349.809,7216.05,6285.04,8837.43,158.743,7444.85,4218.16,4627.33,58.0766,1363.74,4069.1
0.3,351.198,7217.44,6286.43,8838.83,160.136,7446.24,4219.55,4628.72,59.4729,1365.13,4070.49
0.35,352.587,7218.83,6287.82,8840.24,161.528,7447.62,4220.94,4630.11,60.8691,1366.52,4071.88
0.4,353.976,7220.22,6289.21,8841.64,162.921,7449.01,4222.34,4631.5,62.2653,1367.91,4073.28
0.45,355.365,7221.61,6290.6,8843.05,164.314,7450.4,4223.73,4632.89,63.6616,1369.3,4074.67
0.5,356.754,7223,6291.98,8844.45,165.706,7451.79,4225.12,4634.28,65.0578,1370.69,4076.06
0.55,358.142,7224.39,6293.37,8845.85,167.099,7453.18,4226.51,4635.68,66.454,1372.09,4077.45
0.6,359.531,7225.78,6294.76,8847.26,168.492,7454.57,4227.9,4637.07,67.8503,1373.48,4078.84
0.65,360.92,7227.17,6296.15,8848.66,169.884,7455.96,4229.29,4638.46,69.2465,1374.87,4080.23
0.7,362.309,7228.56,6297.54,8850.07,171.277,7457.35,4230.68,4639.85,70.6427,1376.26,4081.62
0.75,363.698,7229.95,6298.93,8851.47,172.67,7458.74,4232.07,4641.24,72.039,1377.65,4083.02
0.8,365.087,7231.34,6300.32,8852.87,174.062,7460.12,4233.46,4642.63,73.4352,1379.05,4084.41
0.85,366.476,7232.73,6301.71,8854.28,175.455,7461.51,4234.85,4644.02,74.8314,1380.44,4085.8
0.9,367.865,7234.12,6303.1,8855.68,176.847,7462.9,4236.24,4645.41,76.2277,1381.83,4087.19
0.95,369.254,7235.51,6304.48,8857.09,178.24,7464.29,4237.63,4646.8,77.6239,1383.22,4088.58
1,370.642,7236.9,6305.87,8858.49,179.633,7465.68,4239.02,4648.19,79.0201,1384.61,4089.97
1.05,372.031,7238.29,6307.26,8859.89,181.025,7467.07,4240.41,4649.58,80.4164,1386.01,4091.37
1.1,373.42,7239.68,6308.65,8861.3,182.418,7468.46,4241.81,4650.97,81.8126,1387.4,4092.76
1.15,374.809,7241.07,6310.04,8862.7,183.811,7469.85,4243.2,4652.36,83.2088,1388.79,4094.15
1.2,376.198,7242.46,6311.43,8864.11,185.203,7471.24,4244.59,4653.75,84.605,1390.18,4095.54
1.25,377.587,7243.85,6312.82,8865.51,186.596,7472.62,4245.98,4655.14,86.0013,1391.57,4096.93
1.3,378.976,7245.24,6314.21,8866.91,187.989,7474.01,4247.37,4656.53,87.3975,1392.97,4098.32
1.35,380.365,7246.63,6315.6,8868.32,189.381,7475.4,4248.76,4657.92,88.7937,1394.36,4099.71
1.4,381.754,7248.03,6316.98,8869.72,190.774,7476.79,4250.15,4659.31,90.19,1395.75,4101.11
1.45,383.142,7249.42,6318.37,8871.13,192.167,7478.18,4251.54,4660.7,91.5862,1397.14,4102.5
1.5,384.531,7250.81,6319.76,8872.53,193.559,7479.57,4252.93,4662.09,92.9824,1398.53,4103.89
1.55,385.92,7252.2,6321.15,8873.93,194.952,7480.96,4254.32,4663.48,94.3787,1399.92,4105.28
1.6,387.309,7253.59,6322.54,8875.34,196.345,7482.35,4255.71,4664.87,95.7749,1401.32,4106.67
1.65,388.698,7254.98,6323.93,8876.74,197.737,7483.74,4257.1,4666.26,97.1711,1402.71,4108.06
1.7,390.087,7256.37,6325.32,8878.15,199.13,7485.12,4258.49,4667.65,98.5674,1404.1,4109.45
1.75,391.476,7257.76,6326.71,8879.55,200.523,7486.51,4259.88,4669.04,99.9636,1405.49,4110.85
1.8,392.865,7259.15,6328.1,8880.96,201.915,7487.9,4261.27,4670.43,101.36,1406.88,4112.24
1.85,394.254,7260.54,6329.48,8882.36,203.308,7489.29,4262.67,4671.82,102.756,1408.28,4113.63
1.9,395.642,7261.93,6330.87,8883.76,204.701,7490.68,4264.06,4673.21,104.152,1409.67,4115.02
1.95,397.031,7263.32,6332.26,8885.17,206.093,7492.07,4265.45,4674.61,105.548,1411.06,4116.41
2,398.42,7264.71,6333.65,8886.57,207.486,7493.46,4266.84,4676,106.945,1412.45,4117.8
2.05,399.809,7266.1,6335.04,8887.98,208.879,7494.85,4268.23,4677.39,108.341,1413.84,4119.2
2.1,401.198,7267.49,6336.43,8889.38,210.271,7496.24,4269.62,4678.78,109.737,1415.24,4120.59
2.15,402.587,7268.88,6337.82,8890.78,211.664,7497.62,4271.01,4680.17,111.133,1416.63,4121.98
2.2,403.976,7270.27,6339.21,8892.19,213.056,7499.01,4272.4,4681.56,112.53,1418.02,4123.37
2.25,405.365,7271.66,6340.6,8893.59,214.449,7500.4,4273.79,4682.95,113.926,1419.41,4124.76
2.3,406.754,7273.05,6341.98,8895,215.842,7501.79,4275.18,4684.34,115.322,1420.8,4126.15
2.35,408.142,7274.44,6343.37,8896.4,217.234,7503.18,4276.57,4685.73,116.718,1422.2,4127.54
2.4,409.531,7275.83,6344.76,8897.8,218.627,7504.57,4277.96,4687.12,118.115,1423.59,4128.94
2.45,410.92,7277.22,6346.15,8899.21,220.02,7505.96,4279.35,4688.51,119.511,1424.98,4130.33
2.5,412.309,7278.61,6347.54,8900.61,221.412,7507.35,4280.74,4689.9,120.907,1426.37,4131.72
2.55,413.698,7280,6348.93,8902.02,222.805,7508.74,4282.14,4691.29,122.303,1427.76,4133.11
2.6,415.087,7281.39,6350.32,8903.42,224.198,7510.12,4283.53,4692.68,123.699,1429.15,4134.5
2.65,416.476,7282.78,6351.71,8904.82,225.59,7511.51,4284.92,4694.07,125.096,1430.55,4135.89
2.7,417.865,7284.17,6353.1,8906.23,226.983,7512.9,4286.31,4695.46,126.492,1431.94,4137.28
2.75,419.254,7285.56,6354.48,8907.63,228.376,7514.29,4287.7,4696.85,127.888,1433.33,4138.68
2.8,420.642,7286.95,6355.87,8909.04,229.768,7515.68,4289.09,4698.24,129.284,1434.72,4140.07
2.85,422.031,7288.34,6357.26,8910.44,231.161,7517.07,4290.48,4699.63,130.681,1436.11,4141.46
2.9,423.42,7289.73,6358.65,8911.84,232.554,7518.46,4291.87,4701.02,132.077,1437.51,4142.85
2.95,424.809,7291.12,6360.04,8913.25,233.946,7519.85,4293.26,4702.41,133.473,1438.9,4144.24
3,426.198,7292.51,6361.43,8914.65,235.339,7521.24,4294.65,4703.8,134.869,1440.29,4145.63
3.05,427.587,7293.9,6362.82,8916.06,236.732,7522.62,4296.04,4705.19,136.266,1441.68,4147.03
3.1,428.976,7295.29,6364.21,8917.46,238.124,7524.01,4297.43,4706.58,137.662,1443.07,4148.42
3.15,430.365,7296.68,6365.6,8918.86,239.517,7525.4,4298.82,4707.97,139.058,1444.47,4149.81
3.2,431.754,7298.07,6366.98,8920.27,240.91,7526.79,4300.21,4709.36,140.454,1445.86,4151.2
3.25,433.142,7299.46,6368.37,8921.67,242.302,7528.18,4301.61,4710.75,141.85,1447.25,4152.59
3.3,434.531,7300.85,6369.76,8923.08,243.695,7529.57,4303,4712.14,143.247,1448.64,4153.98
3.35,435.92,7302.24,6371.15,8924.48,245.088,7530.96,4304.39,4713.54,144.643,1450.03,4155.37
3.4,437.309,7303.63,6372.54,8925.89,246.48,7532.35,4305.78,4714.93,146.039,1451.43,4156.77
3.45,438.698,7305.02,6373.93,8927.29,247.873,7533.74,4307.17,4716.32,147.435,1452.82,4158.16
3.5,440.087,7306.41,6375.32,8928.69,249.266,7535.12,4308.56,4717.71,148.832,1454.21,4159.55
3.55,441.476,7307.8,6376.71,8930.1,250.658,7536.51,4309.95,4719.1,150.228,1455.6,4160.94
3.6,442.865,7309.19,6378.1,8931.5,252.051,7537.9,4311.34,4720.49,151.624,1456.99,4162.33
3.65,444.254,7310.58,6379.48,8932.91,253.444,7539.29,4312.73,4721.88,153.02,1458.38,4163.72
3.7,445.642,7311.97,6380.87,8934.31,254.836,7540.68,4314.12,4723.27,154.416,1459.78,4165.11
3.75,447.031,7313.36,6382.26,8935.71,256.229,7542.07,4315.51,4724.66,155.813,1461.17,4166.51
3.8,448.42,7314.75,6383.65,8937.12,257.622,7543.46,4316.9,4726.05,157.209,1462.56,4167.9
3.85,449.809,7316.14,6385.04,8938.52,259.014,7544.85,4318.29,4727.44,158.605,1463.95,4169.29
3.9,451.198,7317.53,6386.43,8939.93,260.407,7546.24,4319.68,4728.83,160.001,1465.34,4170.68
3.95,452.587,7318.92,6387.82,8941.33,261.8,7547.62,4321.07,4730.22,161.398,1466.74,4172.07
4,453.976,7320.31,6389.21,8942.73,263.192,7549.01,4322.47,4731.61,162.794,1468.13,4173.46
4.05,455.365,7321.7,6390.6,8944.14,264.585,7550.4,4323.86,4733,164.19,1469.52,4174.86
4.1,456.754,7323.09,6391.98,8945.54,265.978,7551.79,4325.25,4734.39,165.586,1470.91,4176.25
4.15,458.142,7324.48,6393.37,8946.95,267.37,7553.18,4326.64,4735.78,166.982,1472.3,4177.64
4.2,459.531,7325.87,6394.76,8948.35,268.763,7554.57,4328.03,4737.17,168.379,1473.7,4179.03
4.25,460.92,7327.26,6396.15,8949.75,270.156,7555.96,4329.42,4738.56,169.775,1475.09,4180.42
4.3,462.309,7328.65,6397.54,8951.16,271.548,7557.35,4330.81,4739.95,171.171,1476.48,4181.81
4.35,463.698,7330.05,6398.93,8952.56,272.941,7558.74,4332.2,4741.34,172.567,1477.87,4183.2
4.4,465.087,7331.44,6400.32,8953.97,274.334,7560.12,4333.59,4742.73,173.964,1479.26,4184.6
4.45,466.476,7332.83,6401.71,8955.37,275.726,7561.51,4334.98,4744.12,175.36,1480.66,4185.99
4.5,467.865,7334.22,6403.1,8956.77,277.119,7562.9,4336.37,4745.51,176.756,1482.05,4187.38
4.55,469.254,7335.61,6404.48,8958.18,278.512,7564.29,4337.76,4746.9,178.152,1483.44,4188.77
4.6,470.643,7337,6405.87,8959.58,279.904,7565.68,4339.15,4748.29,179.548,1484.83,4190.16
4.65,472.031,7338.39,6407.26,8960.99,281.297,7567.07,4340.54,4749.68,180.945,1486.22,4191.55
4.7,473.42,7339.78,6408.65,8962.39,282.69,7568.46,4341.94,4751.07,182.341,1487.61,4192.95
4.75,474.809,7341.17,6410.04,8963.8,284.082,7569.85,4343.33,4752.47,183.737,1489.01,4194.34
4.8,476.198,7342.56,6411.43,8965.2,285.475,7571.24,4344.72,4753.86,185.133,1490.4,4195.73
4.85,477.587,7343.95,6412.82,8966.6,286.868,7572.62,4346.11,4755.25,186.53,1491.79,4197.12
4.9,478.976,7345.34,6414.21,8968.01,288.26,7574.01,4347.5,4756.64,187.926,1493.18,4198.51
4.95,480.365,7346.73,6415.6,8969.41,289.653,7575.4,4348.89,4758.03,189.322,1494.57,4199.9
5,481.754,7348.12,6416.98,8970.82,291.046,7576.79,4350.28,4759.42,190.718,1495.97,4201.29
5.05,483.143,7349.51,6418.37,8972.22,292.438,7578.18,4351.67,4760.81,192.114,1497.36,4202.69
