time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
0,1768.48,1505.61,2014.26,8458.22,5569.66,1015.41,8227.61,7965.95,5455.77,753.221,4087.81,7557.55
0.05,1769.88,1507.01,2015.65,8459.62,5571.05,1016.8,8229,7967.34,5457.17,754.61,4089.21,7558.94
0.1,1771.27,1508.41,2017.04,8461.02,5572.44,1018.18,8230.39,7968.73,5458.56,755.999,4090.6,7560.33
0.15,1772.66,1509.81,2018.42,8462.41,5573.84,1019.57,8231.77,7970.13,5459.95,757.387,4091.99,7561.72
0.2,1774.05,1511.21,2019.81,8463.81,5575.23,1020.96,8233.16,7971.52,5461.34,758.776,4093.38,7563.11
0.25,1775.44,1512.61,2021.2,8465.2,5576.62,1022.35,8234.55,7972.91,5462.73,760.165,4094.78,7564.5
0.3,1776.83,1514.01,2022.59,8466.6,5578.01,1023.74,8235.94,7974.3,5464.12,761.553,4096.17,7565.88
0.35,1778.22,1515.41,2023.98,8467.99,5579.41,1025.13,8237.33,7975.69,5465.52,762.942,4097.56,7567.27
0.4,1779.62,1516.8,2025.37,8469.39,5580.8,1026.52,8238.72,7977.08,5466.91,764.331,4098.95,7568.66
0.45,1781.01,1518.2,2026.76,8470.79,5582.19,1027.91,8240.11,7978.47,5468.3,765.719,4100.34,7570.05
0.5,1782.4,1519.6,2028.15,8472.18,5583.58,1029.3,8241.5,7979.86,5469.69,767.108,4101.74,7571.44
0.55,1783.79,1521,2029.54,8473.58,5584.98,1030.68,8242.89,7981.25,5471.08,768.497,4103.13,7572.83
0.6,1785.18,1522.4,2030.92,8474.97,5586.37,1032.07,8244.27,7982.64,5472.47,769.886,4104.52,7574.22
0.65,1786.57,1523.8,2032.31,8476.37,5587.76,1033.46,8245.66,7984.03,5473.87,771.274,4105.91,7575.61
0.7,1787.97,1525.2,2033.7,8477.76,5589.15,1034.85,8247.05,7985.43,5475.26,772.663,4107.3,7577
0.75,1789.36,1526.6,2035.09,8479.16,5590.55,1036.24,8248.44,7986.82,5476.65,774.052,4108.7,7578.38
0.8,1790.75,1528,2036.48,8480.56,5591.94,1037.63,8249.83,7988.21,5478.04,775.44,4110.09,7579.77
0.85,1792.14,1529.4,2037.87,8481.95,5593.33,1039.02,8251.22,7989.6,5479.43,776.829,4111.48,7581.16
0.9,1793.53,1530.8,2039.26,8483.35,5594.72,1040.41,8252.61,7990.99,5480.82,778.218,4112.87,7582.55
0.95,1794.92,1532.19,2040.65,8484.74,5596.12,1041.8,8254,7992.38,5482.22,779.606,4114.26,7583.94
1,1796.31,1533.59,2042.04,8486.14,5597.51,1043.18,8255.39,7993.77,5483.61,780.995,4115.66,7585.33
1.05,1797.71,1534.99,2043.42,8487.53,5598.9,1044.57,8256.77,7995.16,5485,782.384,4117.05,7586.72
1.1,1799.1,1536.39,2044.81,8488.93,5600.3,1045.96,8258.16,7996.55,5486.39,783.772,4118.44,7588.11
1.15,1800.49,1537.79,2046.2,8490.33,5601.69,1047.35,8259.55,7997.94,5487.78,785.161,4119.83,7589.5
1.2,1801.88,1539.19,2047.59,8491.72,5603.08,1048.74,8260.94,7999.33,5489.17,786.55,4121.22,7590.88
1.25,1803.27,1540.59,2048.98,8493.12,5604.47,1050.13,8262.33,8000.73,5490.57,787.939,4122.62,7592.27
1.3,1804.66,1541.99,2050.37,8494.51,5605.87,1051.52,8263.72,8002.12,5491.96,789.327,4124.01,7593.66
1.35,1806.05,1543.39,2051.76,8495.91,5607.26,1052.91,8265.11,8003.51,5493.35,790.716,4125.4,7595.05
1.4,1807.45,1544.79,2053.15,8497.3,5608.65,1054.3,8266.5,8004.9,5494.74,792.105,4126.79,7596.44
1.45,1808.84,1546.18,2054.54,8498.7,5610.04,1055.68,8267.89,8006.29,5496.13,793.493,4128.19,7597.83
1.5,1810.23,1547.58,2055.92,8500.1,5611.44,1057.07,8269.27,8007.68,5497.52,794.882,4129.58,7599.22
1.55,1811.62,1548.98,2057.31,8501.49,5612.83,1058.46,8270.66,8009.07,5498.92,796.271,4130.97,7600.61
1.6,1813.01,1550.38,2058.7,8502.89,5614.22,1059.85,8272.05,8010.46,5500.31,797.659,4132.36,7602
1.65,1814.4,1551.78,2060.09,8504.28,5615.61,1061.24,8273.44,8011.85,5501.7,799.048,4133.75,7603.38
1.7,1815.79,1553.18,2061.48,8505.68,5617.01,1062.63,8274.83,8013.24,5503.09,800.437,4135.15,7604.77
1.75,1817.19,1554.58,2062.87,8507.07,5618.4,1064.02,8276.22,8014.64,5504.48,801.825,4136.54,7606.16
1.8,1818.58,1555.98,2064.26,8508.47,5619.79,1065.41,8277.61,8016.03,5505.87,803.214,4137.93,7607.55
1.85,1819.97,1557.38,2065.65,8509.87,5621.19,1066.8,8279,8017.42,5507.27,804.603,4139.32,7608.94
1.9,1821.36,1558.78,2067.04,8511.26,5622.58,1068.18,8280.39,8018.81,5508.66,805.992,4140.71,7610.33
1.95,1822.75,1560.18,2068.42,8512.66,5623.97,1069.57,8281.77,8020.2,5510.05,807.38,4142.11,7611.72
2,1824.14,1561.57,2069.81,8514.05,5625.36,1070.96,8283.16,8021.59,5511.44,808.769,4143.5,7613.11
2.05,1825.54,1562.97,2071.2,8515.45,5626.76,1072.35,8284.55,8022.98,5512.83,810.158,4144.89,7614.5
2.1,1826.93,1564.37,2072.59,8516.84,5628.15,1073.74,8285.94,8024.37,5514.22,811.546,4146.28,7615.88
2.15,1828.32,1565.77,2073.98,8518.24,5629.54,1075.13,8287.33,8025.76,5515.62,812.935,4147.67,7617.27
2.2,1829.71,1567.17,2075.37,8519.64,5630.93,1076.52,8288.72,8027.15,5517.01,814.324,4149.07,7618.66
2.25,1831.1,1568.57,2076.76,8521.03,5632.33,1077.91,8290.11,8028.54,5518.4,815.712,4150.46,7620.05
2.3,1832.49,1569.97,2078.15,8522.43,5633.72,1079.3,8291.5,8029.94,5519.79,817.101,4151.85,7621.44
2.35,1833.88,1571.37,2079.54,8523.82,5635.11,1080.68,8292.89,8031.33,5521.18,818.49,4153.24,7622.83
2.4,1835.28,1572.77,2080.92,8525.22,5636.5,1082.07,8294.27,8032.72,5522.58,819.878,4154.64,7624.22
2.45,1836.67,1574.17,2082.31,8526.61,5637.9,1083.46,8295.66,8034.11,5523.97,821.267,4156.03,7625.61
2.5,1838.06,1575.56,2083.7,8528.01,5639.29,1084.85,8297.05,8035.5,5525.36,822.656,4157.42,7627
2.55,1839.45,1576.96,2085.09,8529.4,5640.68,1086.24,8298.44,8036.89,5526.75,824.045,4158.81,7628.38
2.6,1840.84,1578.36,2086.48,8530.8,5642.07,1087.63,8299.83,8038.28,5528.14,825.433,4160.2,7629.77
2.65,1842.23,1579.76,2087.87,8532.2,5643.47,1089.02,8301.22,8039.67,5529.53,826.822,4161.6,7631.16
2.7,1843.62,1581.16,2089.26,8533.59,5644.86,1090.41,8302.61,8041.06,5530.93,828.211,4162.99,7632.55
2.75,1845.02,1582.56,2090.65,8534.99,5646.25,1091.8,8304,8042.45,5532.32,829.599,4164.38,7633.94
2.8,1846.41,1583.96,2092.04,8536.38,5647.65,1093.18,8305.39,8043.84,5533.71,830.988,4165.77,7635.33
2.85,1847.8,1585.36,2093.42,8537.78,5649.04,1094.57,8306.77,8045.24,5535.1,832.377,4167.16,7636.72
2.9,1849.19,1586.76,2094.81,8539.17,5650.43,1095.96,8308.16,8046.63,5536.49,833.765,4168.56,7638.11
2.95,1850.58,1588.16,2096.2,8540.57,5651.82,1097.35,8309.55,8048.02,5537.88,835.154,4169.95,7639.5
3,1851.97,1589.56,2097.59,8541.97,5653.22,1098.74,8310.94,8049.41,5539.28,836.543,4171.34,7640.88
3.05,1853.36,1590.95,2098.98,8543.36,5654.61,1100.13,8312.33,8050.8,5540.67,837.931,4172.73,7642.27
3.1,1854.76,1592.35,2100.37,8544.76,5656,1101.52,8313.72,8052.19,5542.06,839.32,4174.12,7643.66
3.15,1856.15,1593.75,2101.76,8546.15,5657.39,1102.91,8315.11,8053.58,5543.45,840.709,4175.52,7645.05
3.2,1857.54,1595.15,2103.15,8547.55,5658.79,1104.3,8316.5,8054.97,5544.84,842.098,4176.91,7646.44
3.25,1858.93,1596.55,2104.54,8548.94,5660.18,1105.68,8317.89,8056.36,5546.23,843.486,4178.3,7647.83
3.3,1860.32,1597.95,2105.92,8550.34,5661.57,1107.07,8319.27,8057.75,5547.63,844.875,4179.69,7649.22
3.35,1861.71,1599.35,2107.31,8551.74,5662.96,1108.46,8320.66,8059.15,5549.02,846.264,4181.08,7650.61
3.4,1863.11,1600.75,2108.7,8553.13,5664.36,1109.85,8322.05,8060.54,5550.41,847.652,4182.48,7652
3.45,1864.5,1602.15,2110.09,8554.53,5665.75,1111.24,8323.44,8061.93,5551.8,849.041,4183.87,7653.38
3.5,1865.89,1603.55,2111.48,8555.92,5667.14,1112.63,8324.83,8063.32,5553.19,850.43,4185.26,7654.77
3.55,1867.28,1604.95,2112.87,8557.32,5668.53,1114.02,8326.22,8064.71,5554.58,851.818,4186.65,7656.16
3.6,1868.67,1606.34,2114.26,8558.71,5669.93,1115.41,8327.61,8066.1,5555.98,853.207,4188.05,7657.55
3.65,1870.06,1607.74,2115.65,8560.11,5671.32,1116.8,8329,8067.49,5557.37,854.596,4189.44,7658.94
3.7,1871.45,1609.14,2117.04,8561.51,5672.71,1118.18,8330.39,8068.88,5558.76,855.985,4190.83,7660.33
