time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
0,8443.17,2594.63,2925.82,4994.98,8258.19,2792.83,8575.04,7733.66,433.157,4705.52,6974.25,2022,698.174
0.05,8444.56,2596.01,2927.21,4996.37,8259.59,2794.22,8576.43,7735.05,434.547,4706.91,6975.64,2023.38,699.563
0.1,8445.96,2597.4,2928.6,4997.76,8260.99,2795.61,8577.81,7736.44,435.937,4708.3,6977.03,2024.77,700.952
0.15,8447.35,2598.79,2929.99,4999.15,8262.38,2797,8579.2,7737.82,437.327,4709.69,6978.42,2026.16,702.342
0.2,8448.75,2600.18,2931.38,5000.54,8263.78,2798.39,8580.59,7739.21,438.717,4711.08,6979.81,2027.55,703.731
0.25,8450.14,2601.57,2932.77,5001.93,8265.18,2799.79,8581.98,7740.6,440.107,4712.48,6981.2,2028.94,705.12
0.3,8451.54,2602.96,2934.15,5003.32,8266.58,2801.18,8583.37,7741.99,441.497,4713.87,6982.6,2030.33,706.51
0.35,8452.93,2604.35,2935.54,5004.71,8267.98,2802.57,8584.76,7743.38,442.887,4715.26,6983.99,2031.72,707.899
0.4,8454.33,2605.74,2936.93,5006.1,8269.38,2803.96,8586.15,7744.77,444.276,4716.65,6985.38,2033.11,709.288
0.45,8455.72,2607.13,2938.32,5007.49,8270.77,2805.35,8587.54,7746.16,445.666,4718.04,6986.77,2034.5,710.678
0.5,8457.11,2608.51,2939.71,5008.88,8272.17,2806.74,8588.93,7747.55,447.056,4719.43,6988.16,2035.89,712.067
0.55,8458.51,2609.9,2941.1,5010.27,8273.57,2808.13,8590.31,7748.94,448.446,4720.83,6989.55,2037.28,713.456
0.6,8459.9,2611.29,2942.49,5011.67,8274.97,2809.52,8591.7,7750.32,449.836,4722.22,6990.94,2038.67,714.846
0.65,8461.3,2612.68,2943.88,5013.06,8276.37,2810.92,8593.09,7751.71,451.226,4723.61,6992.33,2040.05,716.235
0.7,8462.69,2614.07,2945.27,5014.45,8277.77,2812.31,8594.48,7753.1,452.616,4725,6993.72,2041.44,717.624
0.75,8464.09,2615.46,2946.65,5015.84,8279.17,2813.7,8595.87,7754.49,454.006,4726.39,6995.11,2042.83,719.014
0.8,8465.48,2616.85,2948.04,5017.23,8280.56,2815.09,8597.26,7755.88,455.396,4727.78,6996.5,2044.22,720.403
