time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14
0,9118.67,9160.29,2362.38,3889.2,4289.94,6063.37,1148.71,6333.1,7236.83,1951.82,2493.05,8358.63,5337.25,8222.77
0.05,9120.06,9161.67,2363.77,3890.59,4291.33,6064.77,1150.1,6334.49,7238.23,1953.21,2494.44,8360.02,5338.64,8224.16
0.1,9121.45,9163.06,2365.15,3891.98,4292.72,6066.17,1151.49,6335.88,7239.62,1954.6,2495.83,8361.41,5340.03,8225.55
0.15,9122.84,9164.45,2366.53,3893.37,4294.11,6067.56,1152.88,6337.26,7241.01,1955.99,2497.22,8362.8,5341.43,8226.94
0.2,9124.23,9165.84,2367.92,3894.76,4295.5,6068.96,1154.28,6338.65,7242.41,1957.38,2498.6,8364.19,5342.82,8228.33
0.25,9125.62,9167.23,2369.3,3896.15,4296.89,6070.36,1155.67,6340.04,7243.8,1958.76,2499.99,8365.58,5344.21,8229.72
0.3,9127.01,9168.62,2370.68,3897.54,4298.28,6071.75,1157.06,6341.43,7245.2,1960.15,2501.38,8366.97,5345.6,8231.11
0.35,9128.4,9170.01,2372.07,3898.93,4299.67,6073.15,1158.45,6342.82,7246.59,1961.54,2502.77,8368.35,5346.99,8232.5
0.4,9129.79,9171.4,2373.45,3900.32,4301.06,6074.54,1159.84,6344.21,7247.99,1962.93,2504.16,8369.74,5348.38,8233.89
0.45,9131.18,9172.79,2374.83,3901.71,4302.44,6075.94,1161.23,6345.6,7249.38,1964.32,2505.55,8371.13,5349.77,8235.28
0.5,9132.57,9174.17,2376.22,3903.1,4303.83,6077.34,1162.63,6346.99,7250.77,1965.71,2506.94,8372.52,5351.16,8236.67
0.55,9133.96,9175.56,2377.6,3904.49,4305.22,6078.73,1164.02,6348.38,7252.17,1967.1,2508.33,8373.91,5352.56,8238.06
0.6,9135.35,9176.95,2378.98,3905.88,4306.61,6080.13,1165.41,6349.76,7253.56,1968.49,2509.72,8375.3,5353.95,8239.45
0.65,9136.74,9178.34,2380.37,3907.27,4308,6081.53,1166.8,6351.15,7254.96,1969.88,2511.1,8376.69,5355.34,8240.84
0.7,9138.13,9179.73,2381.75,3908.66,4309.39,6082.92,1168.19,6352.54,7256.35,1971.26,2512.49,8378.08,5356.73,8242.23
0.75,9139.52,9181.12,2383.13,3910.05,4310.78,6084.32,1169.58,6353.93,7257.74,1972.65,2513.88,8379.47,5358.12,8243.62
0.8,9140.91,9182.51,2384.52,3911.44,4312.17,6085.72,1170.97,6355.32,7259.14,1974.04,2515.27,8380.86,5359.51,8245.01
0.85,9142.3,9183.9,2385.9,3912.83,4313.56,6087.11,1172.37,6356.71,7260.53,1975.43,2516.66,8382.24,5360.9,8246.4
0.9,9143.69,9185.29,2387.28,3914.22,4314.94,6088.51,1173.76,6358.1,7261.93,1976.82,2518.05,8383.63,5362.29,8247.79
0.95,9145.08,9186.67,2388.67,3915.6,4316.33,6089.91,1175.15,6359.49,7263.32,1978.21,2519.44,8385.02,5363.68,8249.18
1,9146.47,9188.06,2390.05,3916.99,4317.72,6091.3,1176.54,6360.88,7264.71,1979.6,2520.83,8386.41,5365.08,8250.57
