time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
0,4950.21,3017.44,883.657,6575.84,7702.88,8507.37,2944.27,9786.18,3983.34,2015.21,5045.06,6752.55,8617.82,479.443,7993.87
0.05,4951.58,3018.83,885.046,6577.22,7704.27,8508.76,2945.66,9787.57,3984.73,2016.63,5046.44,6753.95,8619.2,480.847,7995.26
0.1,4952.95,3020.23,886.435,6578.59,7705.66,8510.15,2947.05,9788.96,3986.12,2018.04,5047.83,6755.35,8620.59,482.252,7996.65
0.15,4954.31,3021.62,887.824,6579.97,7707.05,8511.54,2948.45,9790.35,3987.51,2019.46,5049.22,6756.75,8621.98,483.657,7998.04
0.2,4955.68,3023.01,889.213,6581.34,7708.44,8512.93,2949.84,9791.74,3988.9,2020.87,5050.61,6758.15,8623.37,485.061,7999.43
0.25,4957.05,3024.41,890.601,6582.72,7709.83,8514.32,2951.23,9793.13,3990.29,2022.28,5052,6759.55,8624.76,486.466,8000.82
0.3,4958.42,3025.8,891.99,6584.09,7711.22,8515.71,2952.63,9794.52,3991.67,2023.7,5053.39,6760.95,8626.15,487.87,8002.21
0.35,4959.78,3027.19,893.379,6585.47,7712.61,8517.11,2954.02,9795.92,3993.06,2025.11,5054.78,6762.35,8627.54,489.275,8003.61
0.4,4961.15,3028.59,894.768,6586.84,7714.01,8518.5,2955.41,9797.31,3994.45,2026.52,5056.16,6763.75,8628.93,490.679,8005
0.45,4962.52,3029.98,896.157,6588.22,7715.4,8519.89,2956.81,9798.7,3995.84,2027.94,5057.55,6765.14,8630.32,492.084,8006.39
0.5,4963.89,3031.38,897.546,6589.6,7716.79,8521.28,2958.2,9800.09,3997.23,2029.35,5058.94,6766.54,8631.7,493.489,8007.78
0.55,4965.25,3032.77,898.935,6590.97,7718.18,8522.67,2959.59,9801.48,3998.62,2030.77,5060.33,6767.94,8633.09,494.893,8009.17
0.6,4966.62,3034.16,900.324,6592.35,7719.57,8524.06,2960.99,9802.87,4000.01,2032.18,5061.72,6769.34,8634.48,496.298,8010.56
0.65,4967.99,3035.56,901.713,6593.72,7720.96,8525.45,2962.38,9804.26,4001.4,2033.59,5063.11,6770.74,8635.87,497.702,8011.95
0.7,4969.36,3036.95,903.101,6595.1,7722.35,8526.84,2963.78,9805.65,4002.78,2035.01,5064.5,6772.14,8637.26,499.107,8013.34
0.75,4970.72,3038.35,904.49,6596.47,7723.74,8528.23,2965.17,9807.04,4004.17,2036.42,5065.89,6773.54,8638.65,500.511,8014.73
0.8,4972.09,3039.74,905.879,6597.85,7725.14,8529.62,2966.56,9808.44,4005.56,2037.83,5067.27,6774.94,8640.04,501.916,8016.13
0.85,4973.46,3041.13,907.268,6599.22,7726.53,8531.02,2967.96,9809.83,4006.95,2039.25,5068.66,6776.34,8641.43,503.321,8017.52
0.9,4974.83,3042.53,908.657,6600.6,7727.92,8532.41,2969.35,9811.22,4008.34,2040.66,5070.05,6777.74,8642.82,504.725,8018.91
0.95,4976.19,3043.92,910.046,6601.97,7729.31,8533.8,2970.74,9812.61,4009.73,2042.08,5071.44,6779.14,8644.2,506.13,8020.3
1,4977.56,3045.32,911.435,6603.35,7730.7,8535.19,2972.14,9814,4011.12,2043.49,5072.83,6780.54,8645.59,507.534,8021.69
1.05,4978.93,3046.71,912.824,6604.73,7732.09,8536.58,2973.53,9815.39,4012.51,2044.9,5074.22,6781.94,8646.98,508.939,8023.08
1.1,4980.3,3048.1,914.213,6606.1,7733.48,8537.97,2974.92,9816.78,4013.9,2046.32,5075.61,6783.34,8648.37,510.343,8024.47
1.15,4981.66,3049.5,915.601,6607.48,7734.88,8539.36,2976.32,9818.17,4015.28,2047.73,5077,6784.74,8649.76,511.748,8025.86
1.2,4983.03,3050.89,916.99,6608.85,7736.27,8540.75,2977.71,9819.57,4016.67,2049.14,5078.38,6786.13,8651.15,513.153,8027.25
1.25,4984.4,3052.29,918.379,6610.23,7737.66,8542.14,2979.1,9820.96,4018.06,2050.56,5079.77,6787.53,8652.54,514.557,8028.65
1.3,4985.77,3053.68,919.768,6611.6,7739.05,8543.53,2980.5,9822.35,4019.45,2051.97,5081.16,6788.93,8653.93,515.962,8030.04
1.35,4987.13,3055.07,921.157,6612.98,7740.44,8544.93,2981.89,9823.74,4020.84,2053.39,5082.55,6790.33,8655.32,517.366,8031.43
1.4,4988.5,3056.47,922.546,6614.35,7741.83,8546.32,2983.29,9825.13,4022.23,2054.8,5083.94,6791.73,8656.7,518.771,8032.82
1.45,4989.87,3057.86,923.935,6615.73,7743.22,8547.71,2984.68,9826.52,4023.62,2056.21,5085.33,6793.13,8658.09,520.175,8034.21
1.5,4991.24,3059.25,925.324,6617.11,7744.61,8549.1,2986.07,9827.91,4025.01,2057.63,5086.72,6794.53,8659.48,521.58,8035.6
1.55,4992.6,3060.65,926.713,6618.48,7746.01,8550.49,2987.47,9829.3,4026.4,2059.04,5088.11,6795.93,8660.87,522.985,8036.99
