time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16
0,1183.21,5184.38,2311.91,9512.39,5644.07,4582.96,974.084,6224.57,8363.91,94.2074,3351.24,3707.18,5751.02,8142.17,1991.36,8247.45
0.05,1184.6,5185.77,2313.3,9513.78,5645.44,4584.35,975.464,6225.96,8365.3,95.599,3352.65,3708.57,5752.41,8143.54,1992.75,8248.84
0.1,1185.99,5187.15,2314.69,9515.17,5646.81,4585.75,976.845,6227.35,8366.69,96.9906,3354.06,3709.97,5753.8,8144.91,1994.14,8250.22
0.15,1187.37,5188.54,2316.08,9516.56,5648.19,4587.14,978.225,6228.74,8368.08,98.3822,3355.46,3711.36,5755.19,8146.28,1995.53,8251.61
0.2,1188.76,5189.93,2317.47,9517.95,5649.56,4588.53,979.605,6230.14,8369.47,99.7738,3356.87,3712.75,5756.58,8147.65,1996.92,8253
0.25,1190.15,5191.32,2318.86,9519.35,5650.93,4589.93,980.985,6231.53,8370.86,101.165,3358.28,3714.15,5757.97,8149.03,1998.31,8254.38
0.3,1191.54,5192.71,2320.25,9520.74,5652.31,4591.32,982.365,6232.92,8372.25,102.557,3359.69,3715.54,5759.36,8150.4,1999.7,8255.77
0.35,1192.93,5194.1,2321.64,9522.13,5653.68,4592.71,983.746,6234.31,8373.64,103.949,3361.1,3716.93,5760.75,8151.77,2001.09,8257.16
0.4,1194.32,5195.49,2323.03,9523.52,5655.06,4594.11,985.126,6235.7,8375.02,105.34,3362.51,3718.33,5762.14,8153.14,2002.48,8258.54
0.45,1195.71,5196.88,2324.41,9524.91,5656.43,4595.5,986.506,6237.09,8376.41,106.732,3363.91,3719.72,5763.52,8154.52,2003.88,8259.93
0.5,1197.1,5198.26,2325.8,9526.3,5657.8,4596.89,987.886,6238.48,8377.8,108.123,3365.32,3721.11,5764.91,8155.89,2005.27,8261.32
0.55,1198.49,5199.65,2327.19,9527.69,5659.18,4598.29,989.267,6239.87,8379.19,109.515,3366.73,3722.51,5766.3,8157.26,2006.66,8262.7
0.6,1199.87,5201.04,2328.58,9529.08,5660.55,4599.68,990.647,6241.27,8380.58,110.907,3368.14,3723.9,5767.69,8158.63,2008.05,8264.09
0.65,1201.26,5202.43,2329.97,9530.47,5661.92,4601.07,992.027,6242.66,8381.97,112.298,3369.55,3725.29,5769.08,8160.01,2009.44,8265.48
0.7,1202.65,5203.82,2331.36,9531.86,5663.3,4602.47,993.407,6244.05,8383.36,113.69,3370.96,3726.69,5770.47,8161.38,2010.83,8266.86
0.75,1204.04,5205.21,2332.75,9533.25,5664.67,4603.86,994.787,6245.44,8384.75,115.081,3372.37,3728.08,5771.86,8162.75,2012.22,8268.25
0.8,1205.43,5206.6,2334.14,9534.64,5666.04,4605.25,996.168,6246.83,8386.14,116.473,3373.77,3729.47,5773.25,8164.12,2013.61,8269.64
0.85,1206.82,5207.99,2335.53,9536.03,5667.42,4606.65,997.548,6248.22,8387.52,117.865,3375.18,3730.87,5774.64,8165.49,2015,8271.02
0.9,1208.21,5209.37,2336.91,9537.42,5668.79,4608.04,998.928,6249.61,8388.91,119.256,3376.59,3732.26,5776.02,8166.87,2016.39,8272.41
0.95,1209.6,5210.76,2338.3,9538.81,5670.16,4609.43,1000.31,6251,8390.3,120.648,3378,3733.65,5777.41,8168.24,2017.78,8273.8
1,1210.99,5212.15,2339.69,9540.21,5671.54,4610.83,1001.69,6252.4,8391.69,122.039,3379.41,3735.05,5778.8,8169.61,2019.17,8275.18
1.05,1212.37,5213.54,2341.08,9541.6,5672.91,4612.22,1003.07,6253.79,8393.08,123.431,3380.82,3736.44,5780.19,8170.98,2020.56,8276.57
1.1,1213.76,5214.93,2342.47,9542.99,5674.28,4613.61,1004.45,6255.18,8394.47,124.823,3382.22,3737.83,5781.58,8172.36,2021.95,8277.96
1.15,1215.15,5216.32,2343.86,9544.38,5675.66,4615.01,1005.83,6256.57,8395.86,126.214,3383.63,3739.23,5782.97,8173.73,2023.34,8279.34
