time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
0,4914.24,6437.67,3225.91,3535.03,7047.48,8476.93,371.07,2610.57,125.216,727.632,1890.94,9891.49,7582.23,6583.72,9346.63,5212.93,5326.93
0.05,4915.63,6439.06,3227.3,3536.42,7048.87,8478.32,372.459,2611.97,126.608,729.029,1892.33,9892.88,7583.62,6585.11,9348.02,5214.3,5328.32
0.1,4917.01,6440.45,3228.69,3537.82,7050.26,8479.71,373.848,2613.36,128,730.426,1893.72,9894.27,7585.02,6586.5,9349.41,5215.67,5329.71
0.15,4918.4,6441.84,3230.08,3539.21,7051.65,8481.09,375.237,2614.75,129.392,731.823,1895.1,9895.66,7586.41,6587.89,9350.8,5217.04,5331.1
0.2,4919.79,6443.24,3231.46,3540.6,7053.04,8482.48,376.626,2616.14,130.785,733.22,1896.49,9897.05,7587.8,6589.28,9352.2,5218.41,5332.49
0.25,4921.18,6444.63,3232.85,3541.99,7054.43,8483.87,378.014,2617.53,132.177,734.616,1897.88,9898.44,7589.19,6590.67,9353.59,5219.78,5333.88
0.3,4922.57,6446.02,3234.24,3543.38,7055.82,8485.26,379.403,2618.93,133.569,736.013,1899.27,9899.83,7590.59,6592.06,9354.98,5221.15,5335.26
0.35,4923.96,6447.41,3235.63,3544.77,7057.21,8486.65,380.792,2620.32,134.961,737.41,1900.66,9901.22,7591.98,6593.45,9356.37,5222.52,5336.65
0.4,4925.35,6448.8,3237.02,3546.16,7058.6,8488.04,382.181,2621.71,136.353,738.807,1902.05,9902.61,7593.37,6594.84,9357.76,5223.89,5338.04
0.45,4926.74,6450.2,3238.41,3547.55,7059.99,8489.43,383.57,2623.1,137.745,740.204,1903.44,9903.99,7594.76,6596.23,9359.16,5225.26,5339.43
0.5,4928.13,6451.59,3239.8,3548.95,7061.38,8490.82,384.959,2624.49,139.138,741.601,1904.83,9905.38,7596.16,6597.62,9360.55,5226.64,5340.82
0.55,4929.51,6452.98,3241.19,3550.34,7062.77,8492.21,386.348,2625.89,140.53,742.998,1906.22,9906.77,7597.55,6599.01,9361.94,5228.01,5342.21
0.6,4930.9,6454.37,3242.58,3551.73,7064.16,8493.59,387.737,2627.28,141.922,744.395,1907.6,9908.16,7598.94,6600.4,9363.33,5229.38,5343.6
0.65,4932.29,6455.76,3243.96,3553.12,7065.55,8494.98,389.126,2628.67,143.314,745.792,1908.99,9909.55,7600.33,6601.79,9364.72,5230.75,5344.99
0.7,4933.68,6457.16,3245.35,3554.51,7066.94,8496.37,390.514,2630.06,144.706,747.189,1910.38,9910.94,7601.72,6603.18,9366.12,5232.12,5346.38
0.75,4935.07,6458.55,3246.74,3555.9,7068.33,8497.76,391.903,2631.45,146.098,748.586,1911.77,9912.33,7603.12,6604.57,9367.51,5233.49,5347.76
0.8,4936.46,6459.94,3248.13,3557.29,7069.72,8499.15,393.292,2632.84,147.491,749.983,1913.16,9913.72,7604.51,6605.96,9368.9,5234.86,5349.15
0.85,4937.85,6461.33,3249.52,3558.68,7071.11,8500.54,394.681,2634.24,148.883,751.38,1914.55,9915.11,7605.9,6607.35,9370.29,5236.23,5350.54
0.9,4939.24,6462.72,3250.91,3560.08,7072.5,8501.93,396.07,2635.63,150.275,752.777,1915.94,9916.49,7607.29,6608.74,9371.68,5237.6,5351.93
0.95,4940.62,6464.11,3252.3,3561.47,7073.89,8503.32,397.459,2637.02,151.667,754.173,1917.33,9917.88,7608.69,6610.13,9373.08,5238.97,5353.32
1,4942.01,6465.51,3253.69,3562.86,7075.28,8504.71,398.848,2638.41,153.059,755.57,1918.72,9919.27,7610.08,6611.52,9374.47,5240.34,5354.71
1.05,4943.4,6466.9,3255.08,3564.25,7076.67,8506.09,400.237,2639.8,154.451,756.967,1920.1,9920.66,7611.47,6612.91,9375.86,5241.71,5356.1
1.1,4944.79,6468.29,3256.46,3565.64,7078.06,8507.48,401.626,2641.2,155.844,758.364,1921.49,9922.05,7612.86,6614.3,9377.25,5243.08,5357.49
1.15,4946.18,6469.68,3257.85,3567.03,7079.45,8508.87,403.014,2642.59,157.236,759.761,1922.88,9923.44,7614.26,6615.69,9378.64,5244.45,5358.88
1.2,4947.57,6471.07,3259.24,3568.42,7080.84,8510.26,404.403,2643.98,158.628,761.158,1924.27,9924.83,7615.65,6617.08,9380.04,5245.82,5360.26
1.25,4948.96,6472.47,3260.63,3569.81,7082.23,8511.65,405.792,2645.37,160.02,762.555,1925.66,9926.22,7617.04,6618.47,9381.43,5247.19,5361.65
1.3,4950.35,6473.86,3262.02,3571.2,7083.62,8513.04,407.181,2646.76,161.412,763.952,1927.05,9927.61,7618.43,6619.86,9382.82,5248.56,5363.04
1.35,4951.73,6475.25,3263.41,3572.6,7085.01,8514.43,408.57,2648.16,162.804,765.349,1928.44,9928.99,7619.83,6621.26,9384.21,5249.93,5364.43
1.4,4953.12,6476.64,3264.8,3573.99,7086.4,8515.82,409.959,2649.55,164.197,766.746,1929.83,9930.38,7621.22,6622.65,9385.6,5251.31,5365.82
1.45,4954.51,6478.03,3266.19,3575.38,7087.79,8517.21,411.348,2650.94,165.589,768.143,1931.22,9931.77,7622.61,6624.04,9387,5252.68,5367.21
1.5,4955.9,6479.43,3267.58,3576.77,7089.18,8518.59,412.737,2652.33,166.981,769.54,1932.6,9933.16,7624,6625.43,9388.39,5254.05,5368.6
1.55,4957.29,6480.82,3268.96,3578.16,7090.57,8519.98,414.126,2653.72,168.373,770.937,1933.99,9934.55,7625.39,6626.82,9389.78,5255.42,5369.99
1.6,4958.68,6482.21,3270.35,3579.55,7091.96,8521.37,415.514,2655.12,169.765,772.334,1935.38,9935.94,7626.79,6628.21,9391.17,5256.79,5371.38
1.65,4960.07,6483.6,3271.74,3580.94,7093.35,8522.76,416.903,2656.51,171.157,773.73,1936.77,9937.33,7628.18,6629.6,9392.56,5258.16,5372.76
1.7,4961.46,6484.99,3273.13,3582.33,7094.74,8524.15,418.292,2657.9,172.55,775.127,1938.16,9938.72,7629.57,6630.99,9393.96,5259.53,5374.15
1.75,4962.85,6486.39,3274.52,3583.73,7096.12,8525.54,419.681,2659.29,173.942,776.524,1939.55,9940.11,7630.96,6632.38,9395.35,5260.9,5375.54
1.8,4964.23,6487.78,3275.91,3585.12,7097.51,8526.93,421.07,2660.68,175.334,777.921,1940.94,9941.49,7632.36,6633.77,9396.74,5262.27,5376.93
1.85,4965.62,6489.17,3277.3,3586.51,7098.9,8528.32,422.459,2662.07,176.726,779.318,1942.33,9942.88,7633.75,6635.16,9398.13,5263.64,5378.32
1.9,4967.01,6490.56,3278.69,3587.9,7100.29,8529.71,423.848,2663.47,178.118,780.715,1943.72,9944.27,7635.14,6636.55,9399.52,5265.01,5379.71
1.95,4968.4,6491.95,3280.08,3589.29,7101.68,8531.09,425.237,2664.86,179.511,782.112,1945.1,9945.66,7636.53,6637.94,9400.92,5266.38,5381.1
2,4969.79,6493.35,3281.46,3590.68,7103.07,8532.48,426.626,2666.25,180.903,783.509,1946.49,9947.05,7637.93,6639.33,9402.31,5267.75,5382.49
