time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18
0,556.801,6429.83,730.546,6780.31,4638.48,96.0698,2453.08,4524.26,6528.76,4431.92,7215.6,8758.06,3667.32,2033.72,359.127,8132.67,6321.2,31.4644
0.05,558.193,6431.22,731.935,6781.7,4639.87,97.4554,2454.47,4525.65,6530.15,4433.31,7216.99,8759.44,3668.7,2035.12,360.516,8134.06,6322.6,32.8386
0.1,559.586,6432.61,733.323,6783.09,4641.26,98.8409,2455.86,4527.04,6531.53,4434.7,7218.38,8760.83,3670.09,2036.52,361.905,8135.44,6323.99,34.2128
0.15,560.978,6434.01,734.712,6784.48,4642.65,100.226,2457.25,4528.43,6532.92,4436.09,7219.77,8762.22,3671.48,2037.91,363.294,8136.83,6325.38,35.587
0.2,562.371,6435.4,736.101,6785.87,4644.04,101.612,2458.64,4529.82,6534.31,4437.48,7221.16,8763.61,3672.87,2039.31,364.682,8138.22,6326.77,36.9612
0.25,563.763,6436.79,737.49,6787.26,4645.43,102.997,2460.03,4531.21,6535.7,4438.87,7222.55,8765,3674.26,2040.71,366.071,8139.61,6328.17,38.3354
0.3,565.156,6438.18,738.879,6788.65,4646.82,104.383,2461.42,4532.6,6537.09,4440.26,7223.94,8766.39,3675.65,2042.1,367.46,8141,6329.56,39.7096
0.35,566.548,6439.58,740.268,6790.04,4648.21,105.769,2462.81,4533.99,6538.48,4441.64,7225.33,8767.78,3677.04,2043.5,368.849,8142.39,6330.95,41.0838
0.4,567.941,6440.97,741.657,6791.43,4649.6,107.154,2464.2,4535.38,6539.87,4443.03,7226.72,8769.17,3678.43,2044.9,370.238,8143.78,6332.34,42.4581
0.45,569.333,6442.36,743.046,6792.82,4650.98,108.54,2465.59,4536.77,6541.26,4444.42,7228.1,8770.56,3679.82,2046.3,371.627,8145.17,6333.74,43.8323
0.5,570.726,6443.76,744.435,6794.21,4652.37,109.925,2466.98,4538.16,6542.65,4445.81,7229.49,8771.94,3681.21,2047.69,373.016,8146.56,6335.13,45.2065
0.55,572.118,6445.15,745.823,6795.6,4653.76,111.311,2468.37,4539.55,6544.03,4447.2,7230.88,8773.33,3682.6,2049.09,374.405,8147.94,6336.52,46.5807
0.6,573.511,6446.54,747.212,6796.99,4655.15,112.696,2469.75,4540.95,6545.42,4448.59,7232.27,8774.72,3683.98,2050.49,375.794,8149.33,6337.92,47.9549
0.65,574.903,6447.93,748.601,6798.38,4656.54,114.082,2471.14,4542.34,6546.81,4449.98,7233.66,8776.11,3685.37,2051.88,377.182,8150.72,6339.31,49.3292
0.7,576.296,6449.33,749.99,6799.77,4657.93,115.467,2472.53,4543.73,6548.2,4451.37,7235.05,8777.5,3686.76,2053.28,378.571,8152.11,6340.7,50.7034
0.75,577.688,6450.72,751.379,6801.16,4659.32,116.853,2473.92,4545.12,6549.59,4452.76,7236.44,8778.89,3688.15,2054.68,379.96,8153.5,6342.09,52.0776
0.8,579.081,6452.11,752.768,6802.55,4660.71,118.238,2475.31,4546.51,6550.98,4454.14,7237.83,8780.28,3689.54,2056.07,381.349,8154.89,6343.49,53.4519
0.85,580.473,6453.5,754.157,6803.94,4662.1,119.624,2476.7,4547.9,6552.37,4455.53,7239.22,8781.67,3690.93,2057.47,382.738,8156.28,6344.88,54.8261
0.9,581.866,6454.9,755.546,6805.33,4663.48,121.009,2478.09,4549.29,6553.76,4456.92,7240.61,8783.06,3692.32,2058.87,384.127,8157.67,6346.27,56.2003
0.95,583.258,6456.29,756.935,6806.72,4664.87,122.395,2479.48,4550.68,6555.15,4458.31,7241.99,8784.44,3693.71,2060.27,385.516,8159.06,6347.66,57.5746
1,584.651,6457.68,758.323,6808.11,4666.26,123.78,2480.87,4552.07,6556.53,4459.7,7243.38,8785.83,3695.1,2061.66,386.905,8160.44,6349.06,58.9488
1.05,586.043,6459.08,759.712,6809.5,4667.65,125.166,2482.26,4553.46,6557.92,4461.09,7244.77,8787.22,3696.49,2063.06,388.294,8161.83,6350.45,60.323
1.1,587.436,6460.47,761.101,6810.89,4669.04,126.552,2483.65,4554.85,6559.31,4462.48,7246.16,8788.61,3697.88,2064.46,389.682,8163.22,6351.84,61.6973
1.15,588.828,6461.86,762.49,6812.28,4670.43,127.937,2485.04,4556.24,6560.7,4463.87,7247.55,8790,3699.26,2065.85,391.071,8164.61,6353.23,63.0715
1.2,590.221,6463.25,763.879,6813.67,4671.82,129.323,2486.43,4557.63,6562.09,4465.26,7248.94,8791.39,3700.65,2067.25,392.46,8166,6354.63,64.4457
1.25,591.613,6464.65,765.268,6815.06,4673.21,130.708,2487.82,4559.02,6563.48,4466.64,7250.33,8792.78,3702.04,2068.65,393.849,8167.39,6356.02,65.82
