time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
0,2617.24,2489.71,8804.46,284.514,7122.59,3489.4,3685.09,6015.2,324.389,2131.21,4258.56,7746.79,1792.94,4046.04,8700.4,6506.29,4526.73,6151.88,7.15869
0.05,2618.63,2491.08,8805.84,285.907,7123.98,3490.79,3686.48,6016.59,325.781,2132.6,4259.95,7748.18,1794.33,4047.43,8701.77,6507.69,4528.12,6153.27,8.57856
0.1,2620.02,2492.45,8807.23,287.299,7125.37,3492.18,3687.87,6017.98,327.172,2133.99,4261.34,7749.57,1795.72,4048.82,8703.14,6509.09,4529.51,6154.66,9.99843
0.15,2621.41,2493.83,8808.62,288.692,7126.76,3493.57,3689.26,6019.37,328.563,2135.38,4262.73,7750.96,1797.11,4050.21,8704.51,6510.48,4530.89,6156.05,11.4183
0.2,2622.79,2495.2,8810.01,290.085,7128.15,3494.95,3690.64,6020.76,329.954,2136.77,4264.13,7752.35,1798.5,4051.59,8705.88,6511.88,4532.28,6157.44,12.8382
0.25,2624.18,2496.57,8811.4,291.477,7129.54,3496.34,3692.03,6022.16,331.345,2138.16,4265.52,7753.74,1799.89,4052.98,8707.25,6513.28,4533.67,6158.83,14.258
0.3,2625.57,2497.95,8812.79,292.87,7130.93,3497.73,3693.42,6023.55,332.737,2139.55,4266.91,7755.13,1801.28,4054.37,8708.62,6514.67,4535.06,6160.21,15.6779
0.35,2626.96,2499.32,8814.18,294.263,7132.32,3499.12,3694.81,6024.94,334.128,2140.94,4268.3,7756.52,1802.67,4055.76,8709.99,6516.07,4536.45,6161.6,17.0978
0.4,2628.35,2500.69,8815.57,295.655,7133.7,3500.51,3696.2,6026.33,335.519,2142.33,4269.69,7757.92,1804.06,4057.14,8711.36,6517.47,4537.84,6162.99,18.5177
0.45,2629.73,2502.07,8816.96,297.048,7135.09,3501.89,3697.58,6027.72,336.91,2143.72,4271.09,7759.31,1805.45,4058.53,8712.73,6518.87,4539.23,6164.38,19.9375
0.5,2631.12,2503.44,8818.34,298.441,7136.48,3503.28,3698.97,6029.11,338.302,2145.11,4272.48,7760.7,1806.84,4059.92,8714.1,6520.26,4540.62,6165.77,21.3574
0.55,2632.51,2504.81,8819.73,299.833,7137.87,3504.67,3700.36,6030.5,339.693,2146.5,4273.87,7762.09,1808.23,4061.31,8715.46,6521.66,4542.01,6167.16,22.7773
0.6,2633.9,2506.19,8821.12,301.226,7139.26,3506.06,3701.75,6031.89,341.084,2147.89,4275.26,7763.48,1809.62,4062.69,8716.83,6523.06,4543.39,6168.55,24.1971
0.65,2635.29,2507.56,8822.51,302.618,7140.65,3507.45,3703.14,6033.29,342.475,2149.28,4276.65,7764.87,1811.01,4064.08,8718.2,6524.45,4544.78,6169.94,25.617
0.7,2636.68,2508.94,8823.9,304.011,7142.04,3508.83,3704.53,6034.68,343.866,2150.67,4278.04,7766.26,1812.4,4065.47,8719.57,6525.85,4546.17,6171.33,27.0369
0.75,2638.06,2510.31,8825.29,305.404,7143.43,3510.22,3705.91,6036.07,345.258,2152.06,4279.44,7767.65,1813.78,4066.85,8720.94,6527.25,4547.56,6172.71,28.4568
0.8,2639.45,2511.68,8826.68,306.796,7144.82,3511.61,3707.3,6037.46,346.649,2153.45,4280.83,7769.04,1815.17,4068.24,8722.31,6528.65,4548.95,6174.1,29.8766
0.85,2640.84,2513.06,8828.07,308.189,7146.2,3513,3708.69,6038.85,348.04,2154.84,4282.22,7770.44,1816.56,4069.63,8723.68,6530.04,4550.34,6175.49,31.2965
0.9,2642.23,2514.43,8829.46,309.582,7147.59,3514.39,3710.08,6040.24,349.431,2156.23,4283.61,7771.83,1817.95,4071.02,8725.05,6531.44,4551.73,6176.88,32.7164
0.95,2643.62,2515.8,8830.84,310.974,7148.98,3515.77,3711.47,6041.63,350.823,2157.62,4285,7773.22,1819.34,4072.4,8726.42,6532.84,4553.12,6178.27,34.1363
1,2645,2517.18,8832.23,312.367,7150.37,3517.16,3712.86,6043.02,352.214,2159.01,4286.4,7774.61,1820.73,4073.79,8727.79,6534.23,4554.51,6179.66,35.5562
1.05,2646.39,2518.55,8833.62,313.76,7151.76,3518.55,3714.24,6044.41,353.605,2160.4,4287.79,7776,1822.12,4075.18,8729.16,6535.63,4555.89,6181.05,36.976
1.1,2647.78,2519.92,8835.01,315.152,7153.15,3519.94,3715.63,6045.81,354.996,2161.79,4289.18,7777.39,1823.51,4076.57,8730.53,6537.03,4557.28,6182.44,38.3959
1.15,2649.17,2521.3,8836.4,316.545,7154.54,3521.32,3717.02,6047.2,356.388,2163.17,4290.57,7778.78,1824.9,4077.95,8731.9,6538.43,4558.67,6183.83,39.8158
1.2,2650.56,2522.67,8837.79,317.938,7155.93,3522.71,3718.41,6048.59,357.779,2164.56,4291.96,7780.17,1826.29,4079.34,8733.26,6539.82,4560.06,6185.21,41.2357
1.25,2651.94,2524.04,8839.18,319.33,7157.32,3524.1,3719.8,6049.98,359.17,2165.95,4293.36,7781.57,1827.68,4080.73,8734.63,6541.22,4561.45,6186.6,42.6556
1.3,2653.33,2525.42,8840.57,320.723,7158.7,3525.49,3721.18,6051.37,360.561,2167.34,4294.75,7782.96,1829.07,4082.11,8736,6542.62,4562.84,6187.99,44.0754
1.35,2654.72,2526.79,8841.96,322.115,7160.09,3526.88,3722.57,6052.76,361.952,2168.73,4296.14,7784.35,1830.46,4083.5,8737.37,6544.01,4564.23,6189.38,45.4953
1.4,2656.11,2528.16,8843.34,323.508,7161.48,3528.26,3723.96,6054.15,363.344,2170.12,4297.53,7785.74,1831.85,4084.89,8738.74,6545.41,4565.62,6190.77,46.9152
1.45,2657.5,2529.54,8844.73,324.901,7162.87,3529.65,3725.35,6055.54,364.735,2171.51,4298.92,7787.13,1833.24,4086.28,8740.11,6546.81,4567.01,6192.16,48.3351
1.5,2658.88,2530.91,8846.12,326.293,7164.26,3531.04,3726.74,6056.93,366.126,2172.9,4300.31,7788.52,1834.63,4087.66,8741.48,6548.21,4568.39,6193.55,49.755
