time,N1
0,8873.02
0.05,8874.41
0.1,8875.81
0.15,8877.21
0.2,8878.6
0.25,8880
0.3,8881.39
0.35,8882.79
0.4,8884.19
0.45,8885.58
0.5,8886.98
0.55,8888.37
0.6,8889.77
0.65,8891.17
0.7,8892.56
0.75,8893.96
0.8,8895.36
0.85,8896.75
0.9,8898.15
0.95,8899.54
1,8900.94
1.05,8902.34
1.1,8903.73
1.15,8905.13
1.2,8906.52
1.25,8907.92
1.3,8909.32
1.35,8910.71
1.4,8912.11
1.45,8913.51
1.5,8914.9
1.55,8916.3
1.6,8917.69
1.65,8919.09
1.7,8920.49
1.75,8921.88
1.8,8923.28
1.85,8924.67
1.9,8926.07
1.95,8927.47
2,8928.86
2.05,8930.26
2.1,8931.66
2.15,8933.05
2.2,8934.45
2.25,8935.84
2.3,8937.24
2.35,8938.64
2.4,8940.03
2.45,8941.43
2.5,8942.83
2.55,8944.22
2.6,8945.62
2.65,8947.01
2.7,8948.41
2.75,8949.81
2.8,8951.2
2.85,8952.6
2.9,8953.99
2.95,8955.39
3,8956.79
3.05,8958.18
3.1,8959.58
3.15,8960.98
3.2,8962.37
3.25,8963.77
3.3,8965.16
3.35,8966.56
3.4,8967.96
3.45,8969.35
3.5,8970.75
3.55,8972.14
3.6,8973.54
3.65,8974.94
3.7,8976.33
3.75,8977.73
3.8,8979.13
3.85,8980.52
3.9,8981.92
3.95,8983.31
4,8984.71
4.05,8986.11
4.1,8987.5
4.15,8988.9
4.2,8990.29
4.25,8991.69
4.3,8993.09
4.35,8994.48
4.4,8995.88
4.45,8997.28
4.5,8998.67
4.55,9000.07
4.6,9001.46
4.65,9002.86
4.7,9004.26
4.75,9005.65
4.8,9007.05
4.85,9008.45
4.9,9009.84
4.95,9011.24
5,9012.63
5.05,9014.03
5.1,9015.43
5.15,9016.82
5.2,9018.22
5.25,9019.61
5.3,9021.01
5.35,9022.41
5.4,9023.8
5.45,9025.2
5.5,9026.6
5.55,9027.99
5.6,9029.39
5.65,9030.78
5.7,9032.18
5.75,9033.58
5.8,9034.97
5.85,9036.37
5.9,9037.76
5.95,9039.16
6,9040.56
6.05,9041.95
6.1,9043.35
6.15,9044.75
6.2,9046.14
6.25,9047.54
6.3,9048.93
6.35,9050.33
6.4,9051.73
6.45,9053.12
6.5,9054.52
6.55,9055.91
6.6,9057.31
6.65,9058.71
6.7,9060.1
6.75,9061.5
6.8,9062.9
6.85,9064.29
6.9,9065.69
6.95,9067.08
7,9068.48
7.05,9069.88
7.1,9071.27
7.15,9072.67
7.2,9074.06
7.25,9075.46
7.3,9076.86
7.35,9078.25
7.4,9079.65
7.45,9081.05
7.5,9082.44
7.55,9083.84
7.6,9085.23
7.65,9086.63
7.7,9088.03
7.75,9089.42
7.8,9090.82
7.85,9092.21
7.9,9093.61
7.95,9095.01
8,9096.4
8.05,9097.8
8.1,9099.2
8.15,9100.59
8.2,9101.99
8.25,9103.38
8.3,9104.78
8.35,9106.18
8.4,9107.57
8.45,9108.97
8.5,9110.36
8.55,9111.76
8.6,9113.16
8.65,9114.55
8.7,9115.95
8.75,9117.35
8.8,9118.74
8.85,9120.14
8.9,9121.53
8.95,9122.93
9,9124.33
9.05,9125.72
9.1,9127.12
9.15,9128.51
9.2,9129.91
9.25,9131.31
9.3,9132.7
9.35,9134.1
9.4,9135.5
9.45,9136.89
9.5,9138.29
9.55,9139.68
9.6,9141.08
9.65,9142.48
9.7,9143.87
9.75,9145.27
9.8,9146.66
9.85,9148.06
9.9,9149.46
9.95,9150.85
10,9152.25
10.05,9153.65
10.1,9155.04
10.15,9156.44
10.2,9157.83
10.25,9159.23
10.3,9160.63
10.35,9162.02
10.4,9163.42
10.45,9164.81
10.5,9166.21
10.55,9167.61
10.6,9169
10.65,9170.4
10.7,9171.8
10.75,9173.19
10.8,9174.59
10.85,9175.98
10.9,9177.38
10.95,9178.78
11,9180.17
11.05,9181.57
11.1,9182.96
11.15,9184.36
11.2,9185.76
11.25,9187.15
11.3,9188.55
11.35,9189.95
11.4,9191.34
11.45,9192.74
11.5,9194.13
11.55,9195.53
11.6,9196.93
11.65,9198.32
11.7,9199.72
11.75,9201.11
11.8,9202.51
11.85,9203.91
11.9,9205.3
11.95,9206.7
12,9208.1
12.05,9209.49
12.1,9210.89
12.15,9212.28
12.2,9213.68
12.25,9215.08
12.3,9216.47
12.35,9217.87
12.4,9219.26
12.45,9220.66
12.5,9222.06
12.55,9223.45
12.6,9224.85
12.65,9226.25
12.7,9227.64
12.75,9229.04
12.8,9230.43
12.85,9231.83
12.9,9233.23
12.95,9234.62
13,9236.02
13.05,9237.41
13.1,9238.81
13.15,9240.21
