time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
0,1217.44,679.565,4556.85,867.816,6071.65,1010.07,7815.08,7459.64,8877.88,2731.68,8588.91,2990.5,5776.13,6133.55,7191.2,4640.74,9406.19,2370.14,5417.65,2487.4
0.05,1218.83,680.964,4558.26,869.208,6073.04,1011.46,7816.47,7461.03,8879.27,2733.07,8590.3,2991.89,5777.52,6134.94,7192.59,4642.13,9407.58,2371.53,5419.05,2488.79
0.1,1220.23,682.363,4559.66,870.599,6074.44,1012.84,7817.87,7462.42,8880.65,2734.46,8591.69,2993.28,5778.9,6136.33,7193.98,4643.52,9408.97,2372.92,5420.45,2490.18
0.15,1221.62,683.762,4561.06,871.991,6075.83,1014.23,7819.26,7463.81,8882.04,2735.86,8593.07,2994.67,5780.29,6137.72,7195.37,4644.91,9410.36,2374.31,5421.85,2491.56
0.2,1223.02,685.162,4562.47,873.383,6077.23,1015.62,7820.65,7465.2,8883.43,2737.25,8594.46,2996.06,5781.68,6139.11,7196.76,4646.3,9411.75,2375.7,5423.25,2492.95
0.25,1224.41,686.561,4563.87,874.775,6078.62,1017.01,7822.05,7466.58,8884.82,2738.64,8595.85,2997.44,5783.07,6140.49,7198.15,4647.69,9413.14,2377.08,5424.65,2494.34
0.3,1225.81,687.96,4565.27,876.166,6080.02,1018.4,7823.44,7467.97,8886.21,2740.03,8597.23,2998.83,5784.46,6141.88,7199.54,4649.08,9414.53,2378.47,5426.05,2495.73
0.35,1227.2,689.359,4566.67,877.558,6081.41,1019.79,7824.83,7469.36,8887.6,2741.42,8598.62,3000.22,5785.85,6143.27,7200.93,4650.46,9415.92,2379.86,5427.45,2497.12
0.4,1228.6,690.758,4568.08,878.95,6082.8,1021.18,7826.23,7470.75,8888.99,2742.81,8600,3001.61,5787.24,6144.66,7202.32,4651.85,9417.31,2381.25,5428.85,2498.51
0.45,1229.99,692.158,4569.48,880.342,6084.2,1022.57,7827.62,7472.14,8890.38,2744.21,8601.39,3003,5788.63,6146.05,7203.71,4653.24,9418.71,2382.64,5430.25,2499.9
0.5,1231.39,693.557,4570.88,881.733,6085.59,1023.96,7829.02,7473.53,8891.77,2745.6,8602.78,3004.39,5790.02,6147.44,7205.11,4654.63,9420.1,2384.03,5431.65,2501.29
0.55,1232.79,694.956,4572.29,883.125,6086.99,1025.34,7830.41,7474.92,8893.15,2746.99,8604.16,3005.78,5791.4,6148.83,7206.5,4656.02,9421.49,2385.41,5433.05,2502.68
0.6,1234.18,696.355,4573.69,884.517,6088.38,1026.73,7831.8,7476.31,8894.54,2748.38,8605.55,3007.17,5792.79,6150.22,7207.89,4657.41,9422.88,2386.8,5434.45,2504.06
0.65,1235.58,697.754,4575.09,885.908,6089.78,1028.12,7833.2,7477.7,8895.93,2749.77,8606.94,3008.56,5794.18,6151.61,7209.28,4658.8,9424.27,2388.19,5435.85,2505.45
0.7,1236.97,699.153,4576.5,887.3,6091.17,1029.51,7834.59,7479.08,8897.32,2751.16,8608.32,3009.94,5795.57,6152.99,7210.67,4660.19,9425.66,2389.58,5437.25,2506.84
0.75,1238.37,700.553,4577.9,888.692,6092.57,1030.9,7835.98,7480.47,8898.71,2752.56,8609.71,3011.33,5796.96,6154.38,7212.06,4661.58,9427.05,2390.97,5438.65,2508.23
0.8,1239.76,701.952,4579.3,890.084,6093.96,1032.29,7837.38,7481.86,8900.1,2753.95,8611.09,3012.72,5798.35,6155.77,7213.45,4662.96,9428.44,2392.36,5440.05,2509.62
0.85,1241.16,703.351,4580.71,891.475,6095.35,1033.68,7838.77,7483.25,8901.49,2755.34,8612.48,3014.11,5799.74,6157.16,7214.84,4664.35,9429.83,2393.75,5441.45,2511.01
0.9,1242.55,704.75,4582.11,892.867,6096.75,1035.07,7840.16,7484.64,8902.88,2756.73,8613.87,3015.5,5801.13,6158.55,7216.23,4665.74,9431.22,2395.13,5442.86,2512.4
0.95,1243.95,706.149,4583.51,894.259,6098.14,1036.46,7841.56,7486.03,8904.27,2758.12,8615.25,3016.89,5802.52,6159.94,7217.62,4667.13,9432.61,2396.52,5444.26,2513.79
1,1245.34,707.549,4584.92,895.651,6099.54,1037.84,7842.95,7487.42,8905.65,2759.51,8616.64,3018.28,5803.9,6161.33,7219.02,4668.52,9434,2397.91,5445.66,2515.18
1.05,1246.74,708.948,4586.32,897.042,6100.93,1039.23,7844.35,7488.81,8907.04,2760.91,8618.03,3019.67,5805.29,6162.72,7220.41,4669.91,9435.39,2399.3,5447.06,2516.56
1.1,1248.13,710.347,4587.72,898.434,6102.33,1040.62,7845.74,7490.2,8908.43,2762.3,8619.41,3021.06,5806.68,6164.11,7221.8,4671.3,9436.78,2400.69,5448.46,2517.95
1.15,1249.53,711.746,4589.12,899.826,6103.72,1042.01,7847.13,7491.58,8909.82,2763.69,8620.8,3022.44,5808.07,6165.49,7223.19,4672.69,9438.17,2402.08,5449.86,2519.34
1.2,1250.92,713.145,4590.53,901.218,6105.12,1043.4,7848.53,7492.97,8911.21,2765.08,8622.18,3023.83,5809.46,6166.88,7224.58,4674.08,9439.56,2403.46,5451.26,2520.73
1.25,1252.32,714.545,4591.93,902.609,6106.51,1044.79,7849.92,7494.36,8912.6,2766.47,8623.57,3025.22,5810.85,6168.27,7225.97,4675.46,9440.95,2404.85,5452.66,2522.12
1.3,1253.71,715.944,4593.33,904.001,6107.9,1046.18,7851.31,7495.75,8913.99,2767.86,8624.96,3026.61,5812.24,6169.66,7227.36,4676.85,9442.34,2406.24,5454.06,2523.51
1.35,1255.11,717.343,4594.74,905.393,6109.3,1047.57,7852.71,7497.14,8915.38,2769.26,8626.34,3028,5813.63,6171.05,7228.75,4678.24,9443.73,2407.63,5455.46,2524.9
1.4,1256.51,718.742,4596.14,906.785,6110.69,1048.96,7854.1,7498.53,8916.77,2770.65,8627.73,3029.39,5815.02,6172.44,7230.14,4679.63,9445.12,2409.02,5456.86,2526.29
1.45,1257.9,720.141,4597.54,908.176,6112.09,1050.34,7855.49,7499.92,8918.15,2772.04,8629.12,3030.78,5816.4,6173.83,7231.54,4681.02,9446.51,2410.41,5458.26,2527.68
1.5,1259.3,721.541,4598.95,909.568,6113.48,1051.73,7856.89,7501.31,8919.54,2773.43,8630.5,3032.17,5817.79,6175.22,7232.93,4682.41,9447.9,2411.8,5459.66,2529.06
1.55,1260.69,722.94,4600.35,910.96,6114.88,1053.12,7858.28,7502.7,8920.93,2774.82,8631.89,3033.56,5819.18,6176.61,7234.32,4683.8,9449.29,2413.18,5461.06,2530.45
1.6,1262.09,724.339,4601.75,912.352,6116.27,1054.51,7859.68,7504.08,8922.32,2776.21,8633.27,3034.94,5820.57,6177.99,7235.71,4685.19,9450.68,2414.57,5462.46,2531.84
1.65,1263.48,725.738,4603.16,913.743,6117.67,1055.9,7861.07,7505.47,8923.71,2777.61,8634.66,3036.33,5821.96,6179.38,7237.1,4686.58,9452.07,2415.96,5463.86,2533.23
1.7,1264.88,727.137,4604.56,915.135,6119.06,1057.29,7862.46,7506.86,8925.1,2779,8636.05,3037.72,5823.35,6180.77,7238.49,4687.96,9453.46,2417.35,5465.26,2534.62
1.75,1266.27,728.537,4605.96,916.527,6120.45,1058.68,7863.86,7508.25,8926.49,2780.39,8637.43,3039.11,5824.74,6182.16,7239.88,4689.35,9454.85,2418.74,5466.66,2536.01
1.8,1267.67,729.936,4607.36,917.919,6121.85,1060.07,7865.25,7509.64,8927.88,2781.78,8638.82,3040.5,5826.13,6183.55,7241.27,4690.74,9456.24,2420.13,5468.06,2537.4
1.85,1269.06,731.335,4608.77,919.31,6123.24,1061.46,7866.64,7511.03,8929.27,2783.17,8640.21,3041.89,5827.52,6184.94,7242.66,4692.13,9457.63,2421.51,5469.46,2538.79
1.9,1270.46,732.734,4610.17,920.702,6124.64,1062.84,7868.04,7512.42,8930.65,2784.56,8641.59,3043.28,5828.9,6186.33,7244.05,4693.52,9459.02,2422.9,5470.87,2540.18
1.95,1271.85,734.133,4611.57,922.094,6126.03,1064.23,7869.43,7513.81,8932.04,2785.96,8642.98,3044.67,5830.29,6187.72,7245.45,4694.91,9460.41,2424.29,5472.27,2541.56
2,1273.25,735.533,4612.98,923.486,6127.43,1065.62,7870.82,7515.2,8933.43,2787.35,8644.37,3046.06,5831.68,6189.11,7246.84,4696.3,9461.8,2425.68,5473.67,2542.95
2.05,1274.64,736.932,4614.38,924.877,6128.82,1067.01,7872.22,7516.58,8934.82,2788.74,8645.75,3047.44,5833.07,6190.49,7248.23,4697.69,9463.19,2427.07,5475.07,2544.34
2.1,1276.04,738.331,4615.78,926.269,6130.21,1068.4,7873.61,7517.97,8936.21,2790.13,8647.14,3048.83,5834.46,6191.88,7249.62,4699.08,9464.58,2428.46,5476.47,2545.73
2.15,1277.43,739.73,4617.19,927.661,6131.61,1069.79,7875.01,7519.36,8937.6,2791.52,8648.52,3050.22,5835.85,6193.27,7251.01,4700.46,9465.97,2429.85,5477.87,2547.12
2.2,1278.83,741.129,4618.59,929.053,6133,1071.18,7876.4,7520.75,8938.99,2792.91,8649.91,3051.61,5837.24,6194.66,7252.4,4701.85,9467.36,2431.23,5479.27,2548.51
2.25,1280.22,742.529,4619.99,930.444,6134.4,1072.57,7877.79,7522.14,8940.38,2794.31,8651.3,3053,5838.63,6196.05,7253.79,4703.24,9468.76,2432.62,5480.67,2549.9
2.3,1281.62,743.928,4621.4,931.836,6135.79,1073.96,7879.19,7523.53,8941.77,2795.7,8652.68,3054.39,5840.02,6197.44,7255.18,4704.63,9470.15,2434.01,5482.07,2551.29
2.35,1283.02,745.327,4622.8,933.228,6137.19,1075.34,7880.58,7524.92,8943.15,2797.09,8654.07,3055.78,5841.4,6198.83,7256.57,4706.02,9471.54,2435.4,5483.47,2552.68
2.4,1284.41,746.726,4624.2,934.62,6138.58,1076.73,7881.97,7526.31,8944.54,2798.48,8655.46,3057.17,5842.79,6200.22,7257.96,4707.41,9472.93,2436.79,5484.87,2554.06
2.45,1285.81,748.126,4625.61,936.011,6139.98,1078.12,7883.37,7527.7,8945.93,2799.87,8656.84,3058.56,5844.18,6201.61,7259.36,4708.8,9474.32,2438.18,5486.27,2555.45
2.5,1287.2,749.525,4627.01,937.403,6141.37,1079.51,7884.76,7529.08,8947.32,2801.26,8658.23,3059.94,5845.57,6202.99,7260.75,4710.19,9475.71,2439.56,5487.67,2556.84
2.55,1288.6,750.924,4628.41,938.795,6142.76,1080.9,7886.15,7530.47,8948.71,2802.65,8659.61,3061.33,5846.96,6204.38,7262.14,4711.58,9477.1,2440.95,5489.07,2558.23
2.6,1289.99,752.323,4629.81,940.186,6144.16,1082.29,7887.55,7531.86,8950.1,2804.05,8661,3062.72,5848.35,6205.77,7263.53,4712.96,9478.49,2442.34,5490.47,2559.62
2.65,1291.39,753.722,4631.22,941.578,6145.55,1083.68,7888.94,7533.25,8951.49,2805.44,8662.39,3064.11,5849.74,6207.16,7264.92,4714.35,9479.88,2443.73,5491.87,2561.01
2.7,1292.78,755.122,4632.62,942.97,6146.95,1085.07,7890.34,7534.64,8952.88,2806.83,8663.77,3065.5,5851.13,6208.55,7266.31,4715.74,9481.27,2445.12,5493.27,2562.4
2.75,1294.18,756.521,4634.02,944.362,6148.34,1086.46,7891.73,7536.03,8954.27,2808.22,8665.16,3066.89,5852.52,6209.94,7267.7,4717.13,9482.66,2446.51,5494.67,2563.79
2.8,1295.57,757.92,4635.43,945.753,6149.74,1087.84,7893.12,7537.42,8955.65,2809.61,8666.55,3068.28,5853.9,6211.33,7269.09,4718.52,9484.05,2447.89,5496.07,2565.18
2.85,1296.97,759.319,4636.83,947.145,6151.13,1089.23,7894.52,7538.81,8957.04,2811,8667.93,3069.67,5855.29,6212.72,7270.48,4719.91,9485.44,2449.28,5497.47,2566.56
2.9,1298.36,760.718,4638.23,948.537,6152.53,1090.62,7895.91,7540.2,8958.43,2812.4,8669.32,3071.06,5856.68,6214.11,7271.87,4721.3,9486.83,2450.67,5498.88,2567.95
2.95,1299.76,762.118,4639.64,949.929,6153.92,1092.01,7897.3,7541.58,8959.82,2813.79,8670.7,3072.44,5858.07,6215.49,7273.27,4722.69,9488.22,2452.06,5500.28,2569.34
3,1301.15,763.517,4641.04,951.32,6155.31,1093.4,7898.7,7542.97,8961.21,2815.18,8672.09,3073.83,5859.46,6216.88,7274.66,4724.08,9489.61,2453.45,5501.68,2570.73
3.05,1302.55,764.916,4642.44,952.712,6156.71,1094.79,7900.09,7544.36,8962.6,2816.57,8673.48,3075.22,5860.85,6218.27,7276.05,4725.46,9491,2454.84,5503.08,2572.12
3.1,1303.94,766.315,4643.85,954.104,6158.1,1096.18,7901.49,7545.75,8963.99,2817.96,8674.86,3076.61,5862.24,6219.66,7277.44,4726.85,9492.39,2456.23,5504.48,2573.51
3.15,1305.34,767.714,4645.25,955.496,6159.5,1097.57,7902.88,7547.14,8965.38,2819.35,8676.25,3078,5863.63,6221.05,7278.83,4728.24,9493.78,2457.61,5505.88,2574.9
3.2,1306.74,769.114,4646.65,956.887,6160.89,1098.96,7904.27,7548.53,8966.77,2820.75,8677.64,3079.39,5865.02,6222.44,7280.22,4729.63,9495.17,2459,5507.28,2576.29
3.25,1308.13,770.513,4648.06,958.279,6162.29,1100.34,7905.67,7549.92,8968.15,2822.14,8679.02,3080.78,5866.4,6223.83,7281.61,4731.02,9496.56,2460.39,5508.68,2577.68
3.3,1309.53,771.912,4649.46,959.671,6163.68,1101.73,7907.06,7551.31,8969.54,2823.53,8680.41,3082.17,5867.79,6225.22,7283,4732.41,9497.95,2461.78,5510.08,2579.06
3.35,1310.92,773.311,4650.86,961.063,6165.08,1103.12,7908.45,7552.7,8970.93,2824.92,8681.79,3083.56,5869.18,6226.61,7284.39,4733.8,9499.34,2463.17,5511.48,2580.45
3.4,1312.32,774.71,4652.26,962.454,6166.47,1104.51,7909.85,7554.08,8972.32,2826.31,8683.18,3084.94,5870.57,6227.99,7285.79,4735.19,9500.73,2464.56,5512.88,2581.84
3.45,1313.71,776.11,4653.67,963.846,6167.86,1105.9,7911.24,7555.47,8973.71,2827.7,8684.57,3086.33,5871.96,6229.38,7287.18,4736.58,9502.12,2465.94,5514.28,2583.23
3.5,1315.11,777.509,4655.07,965.238,6169.26,1107.29,7912.63,7556.86,8975.1,2829.1,8685.95,3087.72,5873.35,6230.77,7288.57,4737.96,9503.51,2467.33,5515.68,2584.62
3.55,1316.5,778.908,4656.47,966.63,6170.65,1108.68,7914.03,7558.25,8976.49,2830.49,8687.34,3089.11,5874.74,6232.16,7289.96,4739.35,9504.9,2468.72,5517.08,2586.01
3.6,1317.9,780.307,4657.88,968.021,6172.05,1110.07,7915.42,7559.64,8977.88,2831.88,8688.73,3090.5,5876.13,6233.55,7291.35,4740.74,9506.29,2470.11,5518.48,2587.4
3.65,1319.29,781.707,4659.28,969.413,6173.44,1111.46,7916.82,7561.03,8979.27,2833.27,8690.11,3091.89,5877.52,6234.94,7292.74,4742.13,9507.68,2471.5,5519.88,2588.79
3.7,1320.69,783.106,4660.68,970.805,6174.84,1112.84,7918.21,7562.42,8980.65,2834.66,8691.5,3093.28,5878.9,6236.33,7294.13,4743.52,9509.07,2472.89,5521.28,2590.18
3.75,1322.08,784.505,4662.09,972.197,6176.23,1114.23,7919.6,7563.81,8982.04,2836.05,8692.89,3094.67,5880.29,6237.72,7295.52,4744.91,9510.46,2474.28,5522.68,2591.56
3.8,1323.48,785.904,4663.49,973.589,6177.63,1115.62,7921,7565.2,8983.43,2837.45,8694.27,3096.06,5881.68,6239.11,7296.91,4746.3,9511.85,2475.66,5524.08,2592.95
3.85,1324.87,787.303,4664.89,974.98,6179.02,1117.01,7922.39,7566.58,8984.82,2838.84,8695.66,3097.44,5883.07,6240.49,7298.3,4747.69,9513.24,2477.05,5525.48,2594.34
3.9,1326.27,788.703,4666.3,976.372,6180.41,1118.4,7923.78,7567.97,8986.21,2840.23,8697.04,3098.83,5884.46,6241.88,7299.7,4749.08,9514.63,2478.44,5526.89,2595.73
3.95,1327.66,790.102,4667.7,977.764,6181.81,1119.79,7925.18,7569.36,8987.6,2841.62,8698.43,3100.22,5885.85,6243.27,7301.09,4750.46,9516.02,2479.83,5528.29,2597.12
4,1329.06,791.501,4669.1,979.156,6183.2,1121.18,7926.57,7570.75,8988.99,2843.01,8699.82,3101.61,5887.24,6244.66,7302.48,4751.85,9517.41,2481.22,5529.69,2598.51
