time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21
0,7638.38,2572.65,7470.73,3709.66,2177.59,7825.37,5698.45,8279.03,6139.72,8096.71,6537.53,6728.93,714.352,2765.15,2059.9,381.885,7241.23,1050.28,8478.04,5173.41,4052.52
0.05,7639.76,2574.05,7472.12,3711.05,2178.98,7826.76,5699.84,8280.41,6141.11,8098.1,6538.92,6730.32,715.765,2766.54,2061.27,383.28,7242.62,1051.67,8479.43,5174.8,4053.91
0.1,7641.14,2575.45,7473.51,3712.44,2180.36,7828.15,5701.23,8281.78,6142.5,8099.49,6540.31,6731.72,717.178,2767.93,2062.65,384.675,7244,1053.06,8480.82,5176.2,4055.3
0.15,7642.52,2576.85,7474.9,3713.83,2181.75,7829.54,5702.62,8283.16,6143.89,8100.88,6541.7,6733.11,718.592,2769.32,2064.02,386.07,7245.39,1054.45,8482.21,5177.59,4056.69
0.2,7643.91,2578.24,7476.29,3715.22,2183.14,7830.93,5704.01,8284.54,6145.28,8102.27,6543.09,6734.5,720.005,2770.71,2065.39,387.465,7246.78,1055.83,8483.6,5178.98,4058.08
0.25,7645.29,2579.64,7477.68,3716.62,2184.53,7832.32,5705.4,8285.92,6146.67,8103.66,6544.48,6735.89,721.419,2772.1,2066.76,388.86,7248.17,1057.22,8484.99,5180.37,4059.47
0.3,7646.67,2581.04,7479.06,3718.01,2185.92,7833.71,5706.8,8287.3,6148.06,8105.05,6545.87,6737.28,722.832,2773.49,2068.14,390.256,7249.56,1058.61,8486.38,5181.76,4060.87
0.35,7648.05,2582.44,7480.45,3719.4,2187.31,7835.1,5708.19,8288.68,6149.46,8106.43,6547.26,6738.67,724.246,2774.88,2069.51,391.651,7250.95,1060,8487.77,5183.15,4062.26
0.4,7649.43,2583.84,7481.84,3720.79,2188.7,7836.49,5709.58,8290.06,6150.85,8107.82,6548.65,6740.06,725.659,2776.27,2070.88,393.046,7252.34,1061.39,8489.16,5184.55,4063.65
0.45,7650.81,2585.24,7483.23,3722.18,2190.09,7837.88,5710.97,8291.44,6152.24,8109.21,6550.05,6741.45,727.072,2777.65,2072.25,394.441,7253.73,1062.78,8490.54,5185.94,4065.04
0.5,7652.2,2586.64,7484.62,3723.57,2191.48,7839.27,5712.36,8292.81,6153.63,8110.6,6551.44,6742.84,728.486,2779.04,2073.63,395.836,7255.12,1064.17,8491.93,5187.33,4066.43
0.55,7653.58,2588.04,7486.01,3724.97,2192.86,7840.66,5713.75,8294.19,6155.02,8111.99,6552.83,6744.23,729.899,2780.43,2075,397.231,7256.5,1065.56,8493.32,5188.72,4067.82
0.6,7654.96,2589.44,7487.4,3726.36,2194.25,7842.05,5715.15,8295.57,6156.41,8113.38,6554.22,6745.62,731.313,2781.82,2076.37,398.626,7257.89,1066.94,8494.71,5190.11,4069.22
0.65,7656.34,2590.84,7488.79,3727.75,2195.64,7843.44,5716.54,8296.95,6157.8,8114.77,6555.61,6747.01,732.726,2783.21,2077.75,400.021,7259.28,1068.33,8496.1,5191.5,4070.61
0.7,7657.72,2592.23,7490.18,3729.14,2197.03,7844.83,5717.93,8298.33,6159.19,8116.15,6557,6748.4,734.14,2784.6,2079.12,401.417,7260.67,1069.72,8497.49,5192.9,4072
