time,N1,N2,N3,N4,N5
0,7817.39,1574.48,6629.03,7575.66,4051.15
0.05,7818.78,1575.87,6630.43,7577.04,4052.54
0.1,7820.17,1577.26,6631.82,7578.42,4053.93
0.15,7821.56,1578.65,6633.21,7579.81,4055.33
0.2,7822.95,1580.05,6634.6,7581.19,4056.72
0.25,7824.33,1581.44,6635.99,7582.57,4058.11
0.3,7825.72,1582.83,6637.38,7583.95,4059.5
0.35,7827.11,1584.22,6638.78,7585.33,4060.9
0.4,7828.5,1585.62,6640.17,7586.72,4062.29
0.45,7829.89,1587.01,6641.56,7588.1,4063.68
0.5,7831.28,1588.4,6642.95,7589.48,4065.07
0.55,7832.67,1589.8,6644.34,7590.86,4066.47
0.6,7834.06,1591.19,6645.73,7592.24,4067.86
0.65,7835.45,1592.58,6647.12,7593.63,4069.25
0.7,7836.83,1593.97,6648.52,7595.01,4070.64
0.75,7838.22,1595.37,6649.91,7596.39,4072.04
0.8,7839.61,1596.76,6651.3,7597.77,4073.43
0.85,7841,1598.15,6652.69,7599.16,4074.82
0.9,7842.39,1599.54,6654.08,7600.54,4076.21
0.95,7843.78,1600.94,6655.47,7601.92,4077.61
1,7845.17,1602.33,6656.87,7603.3,4079
1.05,7846.56,1603.72,6658.26,7604.68,4080.39
1.1,7847.95,1605.12,6659.65,7606.07,4081.78
1.15,7849.33,1606.51,6661.04,7607.45,4083.18
1.2,7850.72,1607.9,6662.43,7608.83,4084.57
1.25,7852.11,1609.29,6663.82,7610.21,4085.96
1.3,7853.5,1610.69,6665.21,7611.59,4087.35
1.35,7854.89,1612.08,6666.61,7612.98,4088.75
1.4,7856.28,1613.47,6668,7614.36,4090.14
1.45,7857.67,1614.87,6669.39,7615.74,4091.53
1.5,7859.06,1616.26,6670.78,7617.12,4092.92
1.55,7860.45,1617.65,6672.17,7618.51,4094.32
1.6,7861.83,1619.04,6673.56,7619.89,4095.71
1.65,7863.22,1620.44,6674.96,7621.27,4097.1
1.7,7864.61,1621.83,6676.35,7622.65,4098.49
1.75,7866,1623.22,6677.74,7624.03,4099.89
1.8,7867.39,1624.61,6679.13,7625.42,4101.28
1.85,7868.78,1626.01,6680.52,7626.8,4102.67
1.9,7870.17,1627.4,6681.91,7628.18,4104.06
1.95,7871.56,1628.79,6683.3,7629.56,4105.46
2,7872.95,1630.19,6684.7,7630.94,4106.85
2.05,7874.33,1631.58,6686.09,7632.33,4108.24
2.1,7875.72,1632.97,6687.48,7633.71,4109.63
2.15,7877.11,1634.36,6688.87,7635.09,4111.03
2.2,7878.5,1635.76,6690.26,7636.47,4112.42
2.25,7879.89,1637.15,6691.65,7637.86,4113.81
2.3,7881.28,1638.54,6693.05,7639.24,4115.2
2.35,7882.67,1639.93,6694.44,7640.62,4116.6
2.4,7884.06,1641.33,6695.83,7642,4117.99
2.45,7885.45,1642.72,6697.22,7643.38,4119.38
2.5,7886.83,1644.11,6698.61,7644.77,4120.78
2.55,7888.22,1645.51,6700,7646.15,4122.17
2.6,7889.61,1646.9,6701.39,7647.53,4123.56
2.65,7891,1648.29,6702.79,7648.91,4124.95
2.7,7892.39,1649.68,6704.18,7650.3,4126.35
2.75,7893.78,1651.08,6705.57,7651.68,4127.74
2.8,7895.17,1652.47,6706.96,7653.06,4129.13
2.85,7896.56,1653.86,6708.35,7654.44,4130.52
2.9,7897.95,1655.25,6709.74,7655.82,4131.92
2.95,7899.33,1656.65,6711.14,7657.21,4133.31
3,7900.72,1658.04,6712.53,7658.59,4134.7
3.05,7902.11,1659.43,6713.92,7659.97,4136.09
3.1,7903.5,1660.83,6715.31,7661.35,4137.49
3.15,7904.89,1662.22,6716.7,7662.73,4138.88
3.2,7906.28,1663.61,6718.09,7664.12,4140.27
3.25,7907.67,1665,6719.48,7665.5,4141.66
3.3,7909.06,1666.4,6720.88,7666.88,4143.06
3.35,7910.45,1667.79,6722.27,7668.26,4144.45
3.4,7911.83,1669.18,6723.66,7669.65,4145.84
3.45,7913.22,1670.57,6725.05,7671.03,4147.23
3.5,7914.61,1671.97,6726.44,7672.41,4148.63
3.55,7916,1673.36,6727.83,7673.79,4150.02
3.6,7917.39,1674.75,6729.23,7675.17,4151.41
3.65,7918.78,1676.15,6730.62,7676.56,4152.8
3.7,7920.17,1677.54,6732.01,7677.94,4154.2
3.75,7921.56,1678.93,6733.4,7679.32,4155.59
3.8,7922.95,1680.32,6734.79,7680.7,4156.98
3.85,7924.33,1681.72,6736.18,7682.08,4158.37
3.9,7925.72,1683.11,6737.57,7683.47,4159.77
3.95,7927.11,1684.5,6738.97,7684.85,4161.16
4,7928.5,1685.89,6740.36,7686.23,4162.55
4.05,7929.89,1687.29,6741.75,7687.61,4163.94
4.1,7931.28,1688.68,6743.14,7689,4165.34
4.15,7932.67,1690.07,6744.53,7690.38,4166.73
4.2,7934.06,1691.47,6745.92,7691.76,4168.12
4.25,7935.45,1692.86,6747.32,7693.14,4169.51
4.3,7936.83,1694.25,6748.71,7694.52,4170.91
4.35,7938.22,1695.64,6750.1,7695.91,4172.3
4.4,7939.61,1697.04,6751.49,7697.29,4173.69
4.45,7941,1698.43,6752.88,7698.67,4175.08
4.5,7942.39,1699.82,6754.27,7700.05,4176.48
4.55,7943.78,1701.21,6755.66,7701.44,4177.87
4.6,7945.17,1702.61,6757.06,7702.82,4179.26
4.65,7946.56,1704,6758.45,7704.2,4180.65
4.7,7947.95,1705.39,6759.84,7705.58,4182.05
4.75,7949.33,1706.79,6761.23,7706.96,4183.44
4.8,7950.72,1708.18,6762.62,7708.35,4184.83
4.85,7952.11,1709.57,6764.01,7709.73,4186.22
4.9,7953.5,1710.96,6765.41,7711.11,4187.62
4.95,7954.89,1712.36,6766.8,7712.49,4189.01
