time,N1,N2,N3,N4,N5,N6
0,6115.42,306.386,9423.94,8943.94,5868.29,2776.88
0.05,6116.81,307.778,9425.33,8945.34,5869.68,2778.27
0.1,6118.2,309.17,9426.72,8946.73,5871.08,2779.66
0.15,6119.59,310.562,9428.11,8948.12,5872.47,2781.05
0.2,6120.98,311.954,9429.5,8949.51,5873.87,2782.44
0.25,6122.36,313.346,9430.89,8950.9,5875.27,2783.83
0.3,6123.75,314.737,9432.28,8952.29,5876.66,2785.22
0.35,6125.14,316.129,9433.67,8953.68,5878.06,2786.61
0.4,6126.53,317.521,9435.06,8955.08,5879.45,2788
0.45,6127.92,318.913,9436.45,8956.47,5880.85,2789.38
0.5,6129.31,320.305,9437.84,8957.86,5882.25,2790.77
0.55,6130.7,321.697,9439.23,8959.25,5883.64,2792.16
0.6,6132.09,323.089,9440.62,8960.64,5885.04,2793.55
0.65,6133.48,324.48,9442,8962.03,5886.44,2794.94
0.7,6134.86,325.872,9443.39,8963.42,5887.83,2796.33
0.75,6136.25,327.264,9444.78,8964.81,5889.23,2797.72
0.8,6137.64,328.656,9446.17,8966.21,5890.62,2799.11
0.85,6139.03,330.048,9447.56,8967.6,5892.02,2800.5
0.9,6140.42,331.44,9448.95,8968.99,5893.42,2801.88
0.95,6141.81,332.831,9450.34,8970.38,5894.81,2803.27
1,6143.2,334.223,9451.73,8971.77,5896.21,2804.66
1.05,6144.59,335.615,9453.12,8973.16,5897.6,2806.05
1.1,6145.98,337.007,9454.51,8974.55,5899,2807.44
1.15,6147.36,338.399,9455.9,8975.95,5900.4,2808.83
1.2,6148.75,339.791,9457.29,8977.34,5901.79,2810.22
1.25,6150.14,341.182,9458.68,8978.73,5903.19,2811.61
1.3,6151.53,342.574,9460.07,8980.12,5904.58,2813
1.35,6152.92,343.966,9461.46,8981.51,5905.98,2814.38
1.4,6154.31,345.358,9462.85,8982.9,5907.38,2815.77
1.45,6155.7,346.75,9464.24,8984.29,5908.77,2817.16
1.5,6157.09,348.142,9465.63,8985.69,5910.17,2818.55
1.55,6158.48,349.534,9467.02,8987.08,5911.57,2819.94
1.6,6159.86,350.925,9468.41,8988.47,5912.96,2821.33
1.65,6161.25,352.317,9469.8,8989.86,5914.36,2822.72
1.7,6162.64,353.709,9471.19,8991.25,5915.75,2824.11
1.75,6164.03,355.101,9472.57,8992.64,5917.15,2825.5
1.8,6165.42,356.493,9473.96,8994.03,5918.55,2826.88
1.85,6166.81,357.885,9475.35,8995.42,5919.94,2828.27
1.9,6168.2,359.276,9476.74,8996.82,5921.34,2829.66
1.95,6169.59,360.668,9478.13,8998.21,5922.73,2831.05
2,6170.98,362.06,9479.52,8999.6,5924.13,2832.44
2.05,6172.36,363.452,9480.91,9000.99,5925.53,2833.83
2.1,6173.75,364.844,9482.3,9002.38,5926.92,2835.22
2.15,6175.14,366.236,9483.69,9003.77,5928.32,2836.61
2.2,6176.53,367.628,9485.08,9005.16,5929.71,2838
2.25,6177.92,369.019,9486.47,9006.56,5931.11,2839.38
2.3,6179.31,370.411,9487.86,9007.95,5932.51,2840.77
2.35,6180.7,371.803,9489.25,9009.34,5933.9,2842.16
2.4,6182.09,373.195,9490.64,9010.73,5935.3,2843.55
2.45,6183.48,374.587,9492.03,9012.12,5936.7,2844.94
2.5,6184.86,375.979,9493.42,9013.51,5938.09,2846.33
2.55,6186.25,377.37,9494.81,9014.9,5939.49,2847.72
2.6,6187.64,378.762,9496.2,9016.3,5940.88,2849.11
2.65,6189.03,380.154,9497.59,9017.69,5942.28,2850.5
2.7,6190.42,381.546,9498.98,9019.08,5943.68,2851.88
2.75,6191.81,382.938,9500.37,9020.47,5945.07,2853.27
2.8,6193.2,384.33,9501.76,9021.86,5946.47,2854.66
2.85,6194.59,385.722,9503.14,9023.25,5947.86,2856.05
2.9,6195.98,387.113,9504.53,9024.64,5949.26,2857.44
2.95,6197.36,388.505,9505.92,9026.03,5950.66,2858.83
3,6198.75,389.897,9507.31,9027.43,5952.05,2860.22
3.05,6200.14,391.289,9508.7,9028.82,5953.45,2861.61
3.1,6201.53,392.681,9510.09,9030.21,5954.84,2863
3.15,6202.92,394.073,9511.48,9031.6,5956.24,2864.38
3.2,6204.31,395.465,9512.87,9032.99,5957.64,2865.77
3.25,6205.7,396.856,9514.26,9034.38,5959.03,2867.16
3.3,6207.09,398.248,9515.65,9035.77,5960.43,2868.55
3.35,6208.48,399.64,9517.04,9037.17,5961.83,2869.94
3.4,6209.86,401.032,9518.43,9038.56,5963.22,2871.33
3.45,6211.25,402.424,9519.82,9039.95,5964.62,2872.72
3.5,6212.64,403.816,9521.21,9041.34,5966.01,2874.11
