time,N1,N2,N3,N4,N5,N6,N7
0,6517.28,3643.42,8217.73,9332.22,9389.52,5065.37,8276.48
0.05,6518.67,3644.81,8219.14,9333.6,9390.91,5066.76,8277.88
0.1,6520.06,3646.2,8220.54,9334.97,9392.3,5068.16,8279.29
0.15,6521.45,3647.59,8221.94,9336.34,9393.69,5069.55,8280.69
0.2,6522.84,3648.99,8223.34,9337.72,9395.07,5070.94,8282.1
0.25,6524.22,3650.38,8224.74,9339.09,9396.46,5072.34,8283.5
0.3,6525.61,3651.77,8226.14,9340.46,9397.85,5073.73,8284.91
0.35,6527,3653.16,8227.54,9341.84,9399.24,5075.13,8286.31
0.4,6528.39,3654.55,8228.94,9343.21,9400.63,5076.52,8287.72
0.45,6529.78,3655.94,8230.35,9344.58,9402.02,5077.92,8289.12
0.5,6531.17,3657.34,8231.75,9345.96,9403.41,5079.31,8290.53
0.55,6532.56,3658.73,8233.15,9347.33,9404.8,5080.7,8291.93
0.6,6533.95,3660.12,8234.55,9348.7,9406.19,5082.1,8293.34
0.65,6535.34,3661.51,8235.95,9350.08,9407.57,5083.49,8294.74
0.7,6536.72,3662.9,8237.35,9351.45,9408.96,5084.89,8296.15
0.75,6538.11,3664.3,8238.75,9352.82,9410.35,5086.28,8297.56
0.8,6539.5,3665.69,8240.15,9354.2,9411.74,5087.68,8298.96
0.85,6540.89,3667.08,8241.55,9355.57,9413.13,5089.07,8300.37
0.9,6542.28,3668.47,8242.96,9356.94,9414.52,5090.47,8301.77
0.95,6543.67,3669.86,8244.36,9358.32,9415.91,5091.86,8303.18
1,6545.06,3671.25,8245.76,9359.69,9417.3,5093.25,8304.58
1.05,6546.45,3672.65,8247.16,9361.06,9418.69,5094.65,8305.99
1.1,6547.84,3674.04,8248.56,9362.44,9420.07,5096.04,8307.39
1.15,6549.22,3675.43,8249.96,9363.81,9421.46,5097.44,8308.8
1.2,6550.61,3676.82,8251.36,9365.18,9422.85,5098.83,8310.2
