time,N1,N2,N3,N4,N5,N6,N7,N8
0,3801.51,9055.23,9954.89,4745.01,9812.84,4041.39,1767.54,8847.36
0.05,3802.9,9056.62,9956.28,4746.41,9814.23,4042.78,1768.93,8848.74
0.1,3804.29,9058.01,9957.67,4747.81,9815.62,4044.17,1770.32,8850.12
0.15,3805.68,9059.4,9959.06,4749.22,9817.02,4045.56,1771.71,8851.5
0.2,3807.07,9060.79,9960.45,4750.62,9818.41,4046.95,1773.1,8852.88
0.25,3808.46,9062.18,9961.84,4752.02,9819.8,4048.34,1774.49,8854.26
0.3,3809.85,9063.57,9963.22,4753.42,9821.19,4049.73,1775.88,8855.64
0.35,3811.24,9064.96,9964.61,4754.82,9822.58,4051.11,1777.27,8857.02
0.4,3812.63,9066.34,9966,4756.22,9823.98,4052.5,1778.67,8858.4
0.45,3814.02,9067.73,9967.39,4757.62,9825.37,4053.89,1780.06,8859.78
0.5,3815.4,9069.12,9968.78,4759.03,9826.76,4055.28,1781.45,8861.16
0.55,3816.79,9070.51,9970.17,4760.43,9828.15,4056.67,1782.84,8862.54
0.6,3818.18,9071.9,9971.56,4761.83,9829.54,4058.06,1784.23,8863.92
0.65,3819.57,9073.29,9972.95,4763.23,9830.94,4059.45,1785.62,8865.3
0.7,3820.96,9074.68,9974.34,4764.63,9832.33,4060.84,1787.01,8866.68
0.75,3822.35,9076.07,9975.72,4766.03,9833.72,4062.23,1788.4,8868.06
0.8,3823.74,9077.46,9977.11,4767.44,9835.11,4063.61,1789.79,8869.45
0.85,3825.13,9078.84,9978.5,4768.84,9836.5,4065,1791.18,8870.83
0.9,3826.52,9080.23,9979.89,4770.24,9837.9,4066.39,1792.58,8872.21
0.95,3827.91,9081.62,9981.28,4771.64,9839.29,4067.78,1793.97,8873.59
1,3829.3,9083.01,9982.67,4773.04,9840.68,4069.17,1795.36,8874.97
1.05,3830.69,9084.4,9984.06,4774.44,9842.07,4070.56,1796.75,8876.35
1.1,3832.08,9085.79,9985.45,4775.84,9843.47,4071.95,1798.14,8877.73
1.15,3833.47,9087.18,9986.84,4777.25,9844.86,4073.34,1799.53,8879.11
1.2,3834.86,9088.57,9988.22,4778.65,9846.25,4074.73,1800.92,8880.49
1.25,3836.25,9089.96,9989.61,4780.05,9847.64,4076.11,1802.31,8881.87
1.3,3837.64,9091.34,9991,4781.45,9849.03,4077.5,1803.7,8883.25
1.35,3839.03,9092.73,9992.39,4782.85,9850.43,4078.89,1805.09,8884.63
1.4,3840.42,9094.12,9993.78,4784.25,9851.82,4080.28,1806.49,8886.01
1.45,3841.81,9095.51,9995.17,4785.65,9853.21,4081.67,1807.88,8887.39
1.5,3843.19,9096.9,9996.56,4787.06,9854.6,4083.06,1809.27,8888.77
1.55,3844.58,9098.29,9997.95,4788.46,9855.99,4084.45,1810.66,8890.15
1.6,3845.97,9099.68,9999.34,4789.86,9857.39,4085.84,1812.05,8891.53
1.65,3847.36,9101.07,0.724549,4791.26,9858.78,4087.23,1813.44,8892.91
1.7,3848.75,9102.46,2.11344,4792.66,9860.17,4088.61,1814.83,8894.29
1.75,3850.14,9103.84,3.50233,4794.06,9861.56,4090,1816.22,8895.67
1.8,3851.53,9105.23,4.89122,4795.46,9862.95,4091.39,1817.61,8897.05
1.85,3852.92,9106.62,6.2801,4796.87,9864.35,4092.78,1819.01,8898.43
1.9,3854.31,9108.01,7.66899,4798.27,9865.74,4094.17,1820.4,8899.81
1.95,3855.7,9109.4,9.05788,4799.67,9867.13,4095.56,1821.79,8901.19
2,3857.09,9110.79,10.4468,4801.07,9868.52,4096.95,1823.18,8902.57
2.05,3858.48,9112.18,11.8357,4802.47,9869.91,4098.34,1824.57,8903.95
2.1,3859.87,9113.57,13.2245,4803.87,9871.31,4099.73,1825.96,8905.33
2.15,3861.26,9114.96,14.6134,4805.28,9872.7,4101.11,1827.35,8906.71
