time,N1,N2,N3,N4,N5,N6,N7,N8,N9
0,6654.9,5688.67,4473.22,7120.35,301.84,9406.96,70.3749,2359.09,2942.5
0.05,6656.3,5690.06,4474.62,7121.74,303.229,9408.35,71.7579,2360.48,2943.9
0.1,6657.71,5691.45,4476.01,7123.14,304.618,9409.74,73.1409,2361.87,2945.3
0.15,6659.11,5692.83,4477.41,7124.53,306.007,9411.13,74.5239,2363.26,2946.71
0.2,6660.51,5694.22,4478.8,7125.92,307.396,9412.52,75.9069,2364.65,2948.11
0.25,6661.92,5695.61,4480.2,7127.31,308.785,9413.9,77.2899,2366.04,2949.51
0.3,6663.32,5697,4481.59,7128.71,310.173,9415.29,78.673,2367.43,2950.92
0.35,6664.73,5698.39,4482.98,7130.1,311.562,9416.68,80.056,2368.82,2952.32
0.4,6666.13,5699.78,4484.38,7131.49,312.951,9418.07,81.439,2370.21,2953.72
0.45,6667.53,5701.17,4485.77,7132.88,314.34,9419.46,82.822,2371.6,2955.13
0.5,6668.94,5702.56,4487.17,7134.28,315.729,9420.85,84.205,2372.99,2956.53
0.55,6670.34,5703.95,4488.56,7135.67,317.118,9422.23,85.588,2374.38,2957.93
0.6,6671.75,5705.33,4489.95,7137.06,318.507,9423.62,86.9711,2375.77,2959.34
0.65,6673.15,5706.72,4491.35,7138.46,319.896,9425.01,88.3541,2377.16,2960.74
0.7,6674.56,5708.11,4492.74,7139.85,321.285,9426.4,89.7371,2378.55,2962.14
0.75,6675.96,5709.5,4494.14,7141.24,322.673,9427.79,91.1201,2379.94,2963.55
0.8,6677.36,5710.89,4495.53,7142.63,324.062,9429.18,92.5032,2381.33,2964.95
0.85,6678.77,5712.28,4496.93,7144.03,325.451,9430.57,93.8862,2382.72,2966.35
0.9,6680.17,5713.67,4498.32,7145.42,326.84,9431.95,95.2692,2384.11,2967.76
0.95,6681.58,5715.06,4499.71,7146.81,328.229,9433.34,96.6522,2385.5,2969.16
1,6682.98,5716.45,4501.11,7148.2,329.618,9434.73,98.0352,2386.89,2970.56
1.05,6684.38,5717.83,4502.5,7149.6,331.007,9436.12,99.4183,2388.28,2971.97
1.1,6685.79,5719.22,4503.9,7150.99,332.396,9437.51,100.801,2389.67,2973.37
1.15,6687.19,5720.61,4505.29,7152.38,333.785,9438.9,102.184,2391.06,2974.77
1.2,6688.6,5722,4506.68,7153.78,335.173,9440.28,103.567,2392.46,2976.18
1.25,6690,5723.39,4508.08,7155.17,336.562,9441.67,104.95,2393.85,2977.58
1.3,6691.4,5724.78,4509.47,7156.56,337.951,9443.06,106.333,2395.24,2978.98
1.35,6692.81,5726.17,4510.87,7157.95,339.34,9444.45,107.716,2396.63,2980.39
1.4,6694.21,5727.56,4512.26,7159.35,340.729,9445.84,109.099,2398.02,2981.79
1.45,6695.62,5728.95,4513.65,7160.74,342.118,9447.23,110.482,2399.41,2983.19
1.5,6697.02,5730.33,4515.05,7162.13,343.507,9448.61,111.866,2400.8,2984.6
1.55,6698.42,5731.72,4516.44,7163.52,344.896,9450,113.249,2402.19,2986
1.6,6699.83,5733.11,4517.84,7164.92,346.285,9451.39,114.632,2403.58,2987.4
1.65,6701.23,5734.5,4519.23,7166.31,347.673,9452.78,116.015,2404.97,2988.81
1.7,6702.64,5735.89,4520.63,7167.7,349.062,9454.17,117.398,2406.36,2990.21
1.75,6704.04,5737.28,4522.02,7169.1,350.451,9455.56,118.781,2407.75,2991.61
1.8,6705.44,5738.67,4523.41,7170.49,351.84,9456.95,120.164,2409.14,2993.02
1.85,6706.85,5740.06,4524.81,7171.88,353.229,9458.33,121.547,2410.53,2994.42
1.9,6708.25,5741.45,4526.2,7173.27,354.618,9459.72,122.93,2411.92,2995.82
1.95,6709.66,5742.83,4527.6,7174.67,356.007,9461.11,124.313,2413.31,2997.23
2,6711.06,5744.22,4528.99,7176.06,357.396,9462.5,125.696,2414.7,2998.63
2.05,6712.46,5745.61,4530.38,7177.45,358.785,9463.89,127.079,2416.09,3000.03
2.1,6713.87,5747,4531.78,7178.84,360.173,9465.28,128.462,2417.48,3001.44
2.15,6715.27,5748.39,4533.17,7180.24,361.562,9466.66,129.845,2418.87,3002.84
2.2,6716.68,5749.78,4534.57,7181.63,362.951,9468.05,131.228,2420.26,3004.24
2.25,6718.08,5751.17,4535.96,7183.02,364.34,9469.44,132.611,2421.65,3005.65
2.3,6719.48,5752.56,4537.36,7184.42,365.729,9470.83,133.994,2423.04,3007.05
2.35,6720.89,5753.95,4538.75,7185.81,367.118,9472.22,135.377,2424.43,3008.45
2.4,6722.29,5755.33,4540.14,7187.2,368.507,9473.61,136.76,2425.82,3009.86
2.45,6723.7,5756.72,4541.54,7188.59,369.896,9474.99,138.143,2427.21,3011.26
2.5,6725.1,5758.11,4542.93,7189.99,371.285,9476.38,139.526,2428.6,3012.66
2.55,6726.51,5759.5,4544.33,7191.38,372.673,9477.77,140.909,2429.99,3014.07
2.6,6727.91,5760.89,4545.72,7192.77,374.062,9479.16,142.292,2431.38,3015.47
2.65,6729.31,5762.28,4547.11,7194.16,375.451,9480.55,143.675,2432.77,3016.87
2.7,6730.72,5763.67,4548.51,7195.56,376.84,9481.94,145.058,2434.16,3018.28
2.75,6732.12,5765.06,4549.9,7196.95,378.229,9483.33,146.441,2435.55,3019.68
2.8,6733.53,5766.45,4551.3,7198.34,379.618,9484.71,147.824,2436.94,3021.08
2.85,6734.93,5767.83,4552.69,7199.74,381.007,9486.1,149.207,2438.33,3022.49
2.9,6736.33,5769.22,4554.08,7201.13,382.396,9487.49,150.59,2439.72,3023.89
2.95,6737.74,5770.61,4555.48,7202.52,383.785,9488.88,151.974,2441.12,3025.3
3,6739.14,5772,4556.87,7203.91,385.173,9490.27,153.357,2442.51,3026.7
3.05,6740.55,5773.39,4558.27,7205.31,386.562,9491.66,154.74,2443.9,3028.1
